fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,fst_sel_index1,fst_sel_index2,fst_sel_index3,fst_sel_index4,fst_sel_index5,fst_sel_index6,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_sel_index5,lst_sel_index6,fst_typen1,fst_typen2,fst_typen3,fst_typen4,fst_typen5,fst_typen6,lst_typen1,lst_typen2,lst_typen3,lst_typen4,lst_typen5,lst_typen6,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,graduated,grad2,grad4,i_cdr2,i_cdr3,i_cdr5,alt_cdr2,alt_cdr3,alt_cdr5,alt_cdr2_f,alt_cdr2_dnf,rr2,rr5,neg_am2,neg_am5,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,age_entry,cpi_adj
2011,,4,,555,540,15,108,4,,,,,,,,,,,,,,,,,,,,,,,,,16939,11010,5929,69,30515,21065,20395,17825,48065,33805,17290,11090,36490,26865,58770,64895,41020,109900,5.285,4,0.748,0.094,0.705,0.077,0.12,,0.101,0.131,,0.065,0.209,0.973,,0.456,,66810,0.82,0.575,0.374,61568,0.115,0.082,0.034,55510,19215,66060,55390,55860,19,0.965479
2012,,4,,640,624,16,124,6,,,,,,,,,,,,,,,,,,,,,,,,,20931,13553,7379,132,32700,23005,21705,18980,52770,36860,23960,12790,39095,29310,65610,67900,43940,120275,5.37,3,0.752,0.101,0.707,0.07,,,0.088,,,0.06,0.174,0.991,,0.484,,66635,0.822,0.579,0.372,61470,0.121,0.083,0.034,54900,19015,65440,54815,54715,19,0.980216
2013,,4,,694,677,17,131,6,,,,,,,,,,,,,,,,,,,,,,,,,23802,15701,8101,145,34290,24820,23195,20400,54645,37940,23925,14795,40900,31635,68560,69065,46670,124295,5.374,3,0.716,0.09,0.676,,,,,,,,,,,,,65040,0.821,0.585,0.371,61146,0.122,0.085,0.035,52570,18000,62635,52455,52730,19,0.992323
2014,,4,,755,737,18,137,6,,,,,,,,,,,,,,,,,,,,,,,,,26963,17966,8997,144,35695,25885,24375,21440,57785,39945,22560,13175,42790,33360,72765,72005,49080,131350,5.367,3,0.684,0.086,0.648,,,,,,,,,,,,,64400,0.826,0.595,0.365,61301,0.131,0.086,0.035,50875,17235,60505,50600,52085,19,1
1970,,5,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1450,880,1355,880,1330,1330,,,1520,1520,1330,2570,2570,1330,1.786,0,,,,0.357,0.357,0.357,0.357,0.357,0.429,,,0.845,0.571,0,0,,,,,,,,,,,,,,,0.209694
1971,,5,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,0,1150,875,1145,875,1000,1000,,,1290,1280,1000,2295,2295,1000,1.938,0,,,,0.039,0.054,0.093,0.039,0.062,0.101,,,0.843,0.55,0,0.008,,,,,,,,,,,,,,,0.217343
1972,,5,,9,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12,12,0,0,1285,1000,1260,1000,1130,1275,,,1325,1320,1320,2330,2275,1500,2.814,0,,,,0.03,0.04,0.119,0.035,0.065,0.135,,,0.841,0.551,0.013,0.044,,,,,,,,,,,,,,,0.224633
1973,,5,,15,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,25,25,0,0,1730,1620,1710,1500,1430,1280,,,2360,2350,1500,3000,2840,2620,2.578,0,,,,0.072,0.103,0.158,0.09,0.122,0.165,,,0.841,0.554,0.021,0.038,,,,,,,,,,,,,,,0.24199
1974,,5,,20,20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,41,40,1,0,2060,1760,2010,1730,1360,1255,,,2755,2630,1320,3815,3770,2545,3.714,0,,,,0.109,0.157,0.181,0.137,0.166,0.186,,,0.841,0.556,0.017,0.034,,,,,,,,,,,,,,,0.269745
1975,,5,,22,22,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,52,50,2,0,2355,2005,2255,1855,1855,1305,,,3305,3090,2425,4480,4185,3455,3.078,1,,,,0.082,0.111,0.133,0.1,0.115,0.139,,,0.84,0.55,0.018,0.036,,,,,,,,,,,,,,,0.287627
1976,,5,,21,21,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,54,52,2,0,2550,2120,2455,2040,2175,1540,,,3410,3215,2590,4750,4505,5180,4.326,0,,,,0.073,0.119,0.155,0.099,0.135,0.156,,,0.841,0.551,0.06,0.084,,,,,,,,,,,,,,,0.302189
1977,,5,,26,26,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,70,66,4,0,2705,2175,2570,2125,2310,1830,,,3755,3435,2950,5150,5120,5365,3.557,1,,,,0.077,0.109,0.139,0.092,0.121,0.142,,,0.841,0.551,0.062,0.078,,,,,,,,,,,,,,,0.322139
1978,,5,,33,32,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,92,85,7,0,2815,2185,2605,2145,2605,2135,,,3840,3455,3410,5445,5120,4690,3.455,0,,,,0.066,0.088,0.11,0.075,0.092,0.113,,,0.84,0.55,0.048,0.06,,,,,,,,,,,,,,,0.346492
1979,,5,,38,38,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,118,106,12,0,3100,2255,2795,2175,3075,2165,,,4230,3845,4320,6260,5545,6085,3.631,0,,,,0.054,0.073,0.087,0.062,0.077,0.09,,,0.841,0.55,0.041,0.053,,,,,,,,,,,,,,,0.381639
1980,,5,,50,50,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,168,150,17,0,3345,2560,3005,2245,3405,2190,,,4420,4265,4355,6400,5975,7680,3.742,1,,,,0.051,0.069,0.095,0.061,0.074,0.097,,,0.84,0.55,0.041,0.058,,,,,,,,,,,,,,,0.42186
1981,,5,,82,82,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,292,254,38,0,3570,2610,3120,2225,3545,2560,,,4595,4265,4295,6440,6075,7890,3.47,0,,,,0.051,0.066,0.09,0.058,0.071,0.094,,,0.839,0.55,0.037,0.049,,,,,,,,,,,,,,,0.452594
1982,,5,,131,131,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,488,426,62,0,3725,3000,3265,2560,3930,3910,,,4450,4280,4420,6555,6145,7885,3.274,1,,,,0.037,0.056,0.078,0.046,0.063,0.081,,,0.84,0.55,0.037,0.051,,,,,,,,,,,,,,,0.474364
1983,,5,,175,175,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,740,646,94,0,4225,3885,3700,3435,4930,4265,,,5550,4635,7045,7625,6440,8695,3.324,1,,,,0.053,0.074,0.096,0.064,0.081,0.097,,,0.841,0.55,0.044,0.055,,,,,,,,,,,,,,,0.491878
1984,,5,,195,194,1,19,0,,,,,,,,,,,,,,,,,,,,,,,,,939,813,126,0,4820,4240,4200,4180,6335,4930,1875,1875,6400,5920,8585,8530,7300,12795,3.645,1,,,,0.055,0.073,0.087,0.064,0.076,0.089,,,0.844,0.55,0.043,0.05,,,,,,,,,,,,,,,0.509814
1985,,5,,206,205,1,19,0,,,,,,,,,,,,,,,,,,,,,,,,,1064,910,154,0,5160,4285,4435,4225,7505,6240,2225,2225,6610,6315,10965,8645,8190,14930,3.725,2,,,,0.062,0.077,0.092,0.068,0.08,0.095,,,0.845,0.551,0.045,0.053,,,,,,,,,,,,,,,0.528431
1986,,5,,225,224,1,26,0,,,,,,,,,,,,,,,,,,,,,,,,,1228,1003,225,0,5460,4300,4490,4195,8290,7195,6310,6310,7500,6355,12465,9665,8425,16745,3.619,2,,,,0.055,0.066,0.084,0.061,0.072,0.088,,,0.846,0.555,0.043,0.052,,,,,,,,,,,,,,,0.536539
1987,,5,,214,212,2,27,0,,,,,,,,,,,,,,,,,,,,,,,,,1269,1002,267,0,5930,4530,4725,4210,9205,8215,2050,1900,7975,6530,12825,10570,8450,17820,3.623,2,,,,0.051,0.066,0.092,0.058,0.072,0.096,,,0.846,0.551,0.051,0.062,,,,,,,,,,,,,,,0.556903
1988,,5,,210,208,2,30,0,,,,,,,,,,,,,,,,,,,,,,,,,1329,1009,321,0,6335,4930,4860,4225,10055,8425,2625,2505,8300,6640,13850,11625,8505,19805,3.655,2,,,,0.053,0.075,0.102,0.063,0.079,0.105,,,0.846,0.547,0.056,0.076,,,,,,,,,,,,,,,0.580705
1989,,5,,205,202,2,28,0,,,,,,,,,,,,,,,,,,,,,,,,,1419,1045,374,0,6935,5320,5170,4350,12145,9690,3175,2930,8505,7400,17065,12880,9600,24095,3.589,2,,,,0.049,0.069,0.098,0.057,0.075,0.102,,,0.842,0.545,0.059,0.075,,,,,,,,,,,,,,,0.60299
1990,,5,,191,188,3,31,0,,,,,,,,,,,,,,,,,,,,,,,,,1501,1026,475,1,7850,5775,5445,4485,13920,11345,4600,3240,9655,7655,19915,15190,10305,27360,3.528,2,,,,0.049,0.07,0.097,0.059,0.076,0.1,,,0.841,0.545,0.067,0.085,,,,,,,,,,,,,,,0.631967
1991,,5,,192,188,4,33,0,,,,,,,,,,,,,,,,,,,,,,,,,1631,1067,564,2,8495,6135,5675,4690,15290,12600,5950,3425,10415,8080,21690,17555,10920,30755,3.717,3,,,,0.047,0.068,0.096,0.056,0.076,0.1,,,0.84,0.543,0.067,0.091,,,,,,,,,,,,,,,0.648323
1992,,5,,193,188,5,34,1,,,,,,,,,,,,,,,,,,,,,,,,,1820,1163,657,3,9420,6930,6190,5160,16560,13415,4455,3060,11435,8745,23760,19780,11615,34190,3.666,3,,,,0.059,0.086,0.112,0.072,0.092,0.115,,,0.84,0.543,0.086,0.109,,,,,,,,,,,,,,,0.665147
1993,,5,,198,192,6,37,1,,,,,,,,,,,,,,,,,,,,,,,,,2049,1290,759,3,10335,7520,6700,5785,17760,14285,5165,3730,12150,9600,25900,22630,12350,35760,3.691,3,,,,0.064,0.089,0.116,0.074,0.096,0.119,,,0.839,0.531,0.089,0.162,,,,,,,,,,,,,,,0.679709
1994,,5,,206,199,7,37,1,,,,,,,,,,,,,,,,,,,,,,,,,2256,1434,822,4,10950,8160,7215,6240,18705,14910,6440,6055,13095,10245,27760,22795,13435,37300,3.656,3,,,,0.054,0.078,0.105,0.065,0.085,0.108,,,0.844,0.532,0.105,0.168,,,,,,,,,,,,,,,0.694281
1995,,5,,203,196,7,34,1,,,,,,,,,,,,,,,,,,,,,,,,,2569,1645,925,7,12640,9355,8400,7365,22310,17945,7715,6165,14785,11795,31445,26235,15555,45655,3.683,3,,,,0.052,0.081,0.104,0.065,0.087,0.106,,,0.849,0.553,0.122,0.188,37840,0.582,0.284,0.394,,,,,25530,7685,46255,25530,,,0.707602
1996,,5,,229,220,8,37,1,,,,,,,,,,,,,,,,,,,,,,,,,3292,2184,1108,3,14395,11145,9920,9095,24440,18535,6225,3570,16855,14000,36140,29190,18170,51000,3.632,3,0.668,0.025,0.654,0.054,0.078,0.1,0.065,0.085,0.104,0.05,0.099,0.866,0.556,0.279,0.197,52305,0.609,0.475,0.341,45031,0.179,0.13,0.037,38580,13540,65420,38580,3840,,0.724261
1997,,5,,249,239,10,41,1,,,,,,,,,,,,,,,,,,,,,,,,,4078,2666,1412,9,16395,13075,11175,10335,27470,21285,11695,9035,19265,15795,38950,33670,20410,58290,3.716,3,0.631,0.025,0.618,0.044,0.064,0.084,0.055,0.068,0.088,0.044,0.079,0.871,0.56,0.303,0.211,55955,0.653,0.48,0.35,70408,0.107,0.054,0.027,43010,15775,62910,42935,26975,,0.732323
1998,,5,,260,250,10,45,1,,,,,,,,,,,,,,,,,,,,,,,,,4804,3094,1710,6,18515,14290,12395,11285,31305,23260,12010,7020,21565,16870,44005,38560,22550,66245,3.829,3,0.615,0.026,0.603,0.041,0.057,0.081,0.047,0.062,0.084,0.034,0.07,0.87,0.57,0.257,0.205,57795,0.695,0.504,0.323,58404,0.145,0.106,0.037,45465,16845,62750,45465,30870,,0.738253
1999,,5,,273,264,9,52,1,,,,,,,,,,,,,,,,,,,,,,,,,5478,3490,1988,9,20050,15560,13225,12545,32385,24335,12920,7645,23055,17620,47685,42080,23640,69425,3.973,3,0.624,0.028,0.611,0.034,0.052,0.076,0.04,0.058,0.079,0.029,0.061,0.859,0.571,0.252,0.205,60855,0.749,0.5,0.304,68232,0.133,0.091,0.038,50045,17555,64930,49945,44135,19,0.753413
2000,,5,,286,275,12,56,1,,,,,,,,,,,,,,,,,,,,,,,,,6084,3773,2311,15,21250,15875,13740,13030,34280,25445,21775,8910,24210,17985,49305,45640,24420,73235,4.007,3,0.65,0.031,0.636,0.03,0.047,0.069,0.037,0.053,0.071,0.028,0.055,0.857,0.587,0.247,0.2,65800,0.82,0.51,0.3,62979,0.1,0.082,0.036,57830,18155,67655,57830,44675,19,0.77168
2001,,5,,283,271,11,56,1,,,,,,,,,,,,,,,,,,,,,,,,,6369,3816,2553,17,22545,16015,14075,13325,37630,26945,17440,9515,25165,18285,51545,48075,25125,83065,4.139,3,0.67,0.033,0.654,0.028,0.042,0.061,0.033,0.048,0.063,0.021,0.058,0.862,0.624,0.253,0.201,69165,0.85,0.516,0.294,62929,0.096,0.079,0.034,61615,18630,70185,61545,55740,19,0.779909
2002,,5,,288,278,10,64,1,,,,,,,,,,,,,,,,,,,,,,,,,6829,3995,2834,17,23720,16190,14370,13615,38220,26740,14805,7635,26060,18860,51580,52290,25655,82730,4.282,3,0.684,0.032,0.671,0.026,0.04,0.058,0.031,0.045,0.061,0.017,0.062,0.895,0.698,0.251,0.204,70485,0.857,0.517,0.297,64681,0.096,0.077,0.033,60910,18605,69135,60750,59305,19,0.796383
2003,,5,,297,290,7,69,2,,,,,,,,,,,,,,,,,,,,,,,,,7262,4311,2952,22,24430,16705,14875,14335,38600,27330,14440,6995,27005,19585,52285,53035,26295,84030,4.395,3,0.709,0.034,0.695,0.023,0.036,0.053,0.028,0.039,0.056,0.018,0.052,0.903,0.72,0.228,0.185,73205,0.865,0.525,0.284,66772,0.089,0.071,0.032,64355,20105,72515,64365,57075,19,0.811654
2004,,5,,318,310,8,83,1,,,,,,,,,,,,,,,,,,,,,,,,,8193,4698,3495,23,25765,17135,15135,14555,38685,26595,16585,10395,29575,19680,52120,55820,26850,86735,4.56,3,0.751,0.036,0.735,0.022,0.037,0.053,0.028,0.041,0.055,0.016,0.064,0.914,0.743,0.231,0.176,77645,0.881,0.536,0.285,68558,0.08,0.068,0.031,68405,19460,75340,68300,65735,19,0.834702
2005,,5,,383,374,9,100,2,,,,,,,,,,,,,,,,,,,,,,,,,10294,5872,4422,36,26905,17330,15710,14990,40800,28790,17665,10105,30430,20210,52485,57955,27905,92230,4.661,3,0.794,0.04,0.777,0.019,0.033,0.047,0.024,0.037,0.048,0.015,0.06,0.921,0.754,0.235,0.175,79755,0.887,0.527,0.266,68559,0.084,0.067,0.031,69920,20385,76990,69920,67480,19,0.858669
2006,,5,,380,373,7,108,2,,,,,,,,,,,,,,,,,,,,,,,,,10617,6033,4584,37,27915,17975,16155,15385,39835,30290,17810,10475,33790,20995,51725,61120,28810,81820,4.839,3,0.81,0.045,0.793,0.022,0.037,0.052,0.029,0.041,0.054,0.017,0.079,0.93,0.763,0.243,0.187,80925,0.898,0.538,0.266,68340,0.083,0.068,0.032,70400,20835,76530,70320,69330,19,0.876992
2007,,5,,303,297,6,78,2,,,,,,,,,,,,,,,,,,,,,,,,,8309,4918,3391,35,27410,18000,16570,15650,40255,30800,22430,11765,33555,21545,52305,59265,30910,80310,4.865,3,0.807,0.053,0.791,0.031,0.051,0.076,0.04,0.057,0.079,0.025,0.101,0.928,0.742,0.258,0.207,79115,0.885,0.53,0.28,67651,0.087,0.071,0.032,68820,20525,75960,68715,70595,19,0.906824
2008,,5,,324,313,11,86,2,,,,,,,,,,,,,,,,,,,,,,,,,9423,5073,4350,34,29095,17895,16225,15190,44945,33595,20000,15160,35100,20810,57995,65745,30130,96115,5.113,4,0.831,0.064,0.81,0.031,0.056,0.087,0.04,0.063,0.092,0.025,0.117,0.892,0.633,0.255,0.207,81895,0.896,0.535,0.265,68469,0.085,0.069,0.032,70390,20440,76950,70350,70695,19,0.910217
2009,,5,,382,365,17,100,2,,,,,,,,,,,,,,,,,,,,,,,,,11873,5870,6004,50,31075,17770,16085,14955,51125,38040,23545,12870,36270,20465,64920,72435,29690,116665,5.077,3,0.847,0.062,0.827,0.034,0.062,0.097,0.048,0.071,0.1,0.03,0.146,0.875,0.586,0.271,0.223,83240,0.901,0.556,0.268,69301,0.083,0.067,0.031,72600,18845,78630,72380,72555,19,0.929017
2010,,5,,397,381,16,103,2,,,,,,,,,,,,,,,,,,,,,,,,,13627,6616,7012,57,34350,19390,17370,16030,58835,40120,25080,13760,37760,21820,76100,78715,32015,141430,5.17,4,0.852,0.067,0.83,0.037,0.062,,0.049,0.07,,0.032,0.148,0.882,,0.312,,84315,0.907,0.543,0.263,69551,0.083,0.067,0.031,72275,18915,78265,71890,73390,19,0.941916
2011,,5,,447,427,20,119,3,,,,,,,,,,,,,,,,,,,,,,,,,16879,8159,8720,68,37780,22130,19110,17390,63015,40785,24335,12780,41435,24385,82330,85830,34750,155405,5.482,4,0.854,0.068,0.832,0.042,0.066,,0.055,0.071,,0.037,0.161,0.903,,0.343,,86750,0.905,0.55,0.251,69598,0.083,0.068,0.031,74030,20120,80225,73615,73350,19,0.965479
2012,,5,,494,472,22,128,3,,,,,,,,,,,,,,,,,,,,,,,,,19570,9626,9944,96,39650,24275,20390,18490,66630,43080,28275,16550,42740,26635,85060,87065,37065,163220,5.586,4,0.857,0.071,0.832,0.038,,,0.046,,,0.034,0.123,0.909,,0.358,,86165,0.908,0.555,0.262,69628,0.086,0.068,0.031,73280,18025,79500,72950,74380,19,0.980216
2013,,5,,519,496,23,130,4,,,,,,,,,,,,,,,,,,,,,,,,,21661,10771,10890,118,41725,26255,21705,19665,71435,45565,31615,17535,44750,28935,96980,93665,40095,168830,5.513,4,0.833,0.069,0.811,,,,,,,,,,,,,86185,0.911,0.555,0.264,69564,0.09,0.069,0.031,72385,18125,78705,71895,74190,19,0.992323
2014,,5,,558,536,21,131,3,,,,,,,,,,,,,,,,,,,,,,,,,23422,11981,11441,103,42005,26490,22345,20680,75035,45795,31985,15325,43775,29640,100060,91410,40595,188100,5.386,3,0.811,0.061,0.794,,,,,,,,,,,,,87215,0.912,0.557,0.254,69622,0.092,0.07,0.032,72435,17615,78470,71765,75720,19,1
1970,,6,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1160,1290,,,1160,1290,,,1335,,1335,1500,,1500,7.857,0,,,,0.286,0.286,0.286,0.286,0.286,0.286,,,0.852,0.587,0,0,,,,,,,,,,,,,,,0.209694
1971,,6,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1260,1200,,,1260,1200,,,1320,,1320,2525,,2525,1.714,0,,,,0.122,0.122,0.143,0.122,0.122,0.163,,,0.843,0.56,0.02,0.041,,,,,,,,,,,,,,,0.217343
1972,,6,,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1480,1285,950,880,1460,1280,,,1335,1320,1330,2375,1320,2375,2.476,0,,,,0.048,0.056,0.121,0.048,0.065,0.137,,,0.843,0.556,0.016,0.016,,,,,,,,,,,,,,,0.224633
1973,,6,,5,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,1870,1315,970,885,1845,1310,,,2560,1270,2560,3435,1320,3435,2.16,0,,,,0.102,0.131,0.189,0.131,0.15,0.204,,,0.841,0.556,0.005,0.02,,,,,,,,,,,,,,,0.24199
1974,,6,,6,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,16,0,15,0,2415,2325,1315,1270,2380,2230,,,3455,2120,3455,4040,2155,4040,3.105,0,,,,0.12,0.163,0.186,0.132,0.171,0.19,,,0.841,0.556,0.023,0.051,,,,,,,,,,,,,,,0.269745
1975,,6,,7,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,20,1,20,0,2815,2530,1645,1315,2735,2495,,,3635,2080,3530,5260,2670,5185,2.589,0,,,,0.087,0.118,0.164,0.105,0.139,0.164,,,0.841,0.555,0.031,0.063,,,,,,,,,,,,,,,0.287627
1976,,6,,8,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,22,0,21,0,2885,2345,1525,880,2835,2215,,,3865,1680,3795,5580,4940,5580,3.391,1,,,,0.07,0.106,0.136,0.096,0.116,0.139,,,0.841,0.556,0.073,0.096,,,,,,,,,,,,,,,0.302189
1977,,6,,9,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,28,1,27,0,3040,2495,2160,1940,2945,2290,,,4265,2945,4220,6010,3650,5985,2.851,0,,,,0.08,0.116,0.152,0.094,0.116,0.152,,,0.841,0.556,0.091,0.119,,,,,,,,,,,,,,,0.322139
1978,,6,,14,1,13,1,0,,,,,,,,,,,,,,,,,,,,,,,,,48,2,46,0,3510,2575,2180,1710,3360,2360,,,4480,2720,4320,7250,4215,6775,2.804,0,,,,0.053,0.082,0.102,0.071,0.09,0.106,,,0.841,0.556,0.048,0.062,,,,,,,,,,,,,,,0.346492
1979,,6,,16,1,15,1,0,,,,,,,,,,,,,,,,,,,,,,,,,62,3,59,0,3815,2970,2320,1760,3610,2585,,,5120,3000,4750,7305,4295,6885,3.028,0,,,,0.06,0.086,0.1,0.072,0.09,0.101,,,0.841,0.555,0.044,0.064,,,,,,,,,,,,,,,0.381639
1980,,6,,23,3,20,3,0,,,,,,,,,,,,,,,,,,,,,,,,,104,8,96,0,4495,3980,2905,2210,4155,3435,,,5895,3890,5415,8870,5120,8535,3.243,1,,,,0.033,0.055,0.077,0.043,0.062,0.078,,,0.841,0.551,0.028,0.043,,,,,,,,,,,,,,,0.42186
1981,,6,,38,4,35,4,0,,,,,,,,,,,,,,,,,,,,,,,,,180,10,170,0,4675,4240,2565,2145,4425,4130,,,6000,3410,5625,8750,4380,8640,2.51,0,,,,0.032,0.046,0.07,0.04,0.053,0.074,,,0.841,0.551,0.033,0.045,,,,,,,,,,,,,,,0.452594
1982,,6,,66,6,59,6,0,,,,,,,,,,,,,,,,,,,,,,,,,346,19,328,0,5285,4295,2915,2175,5000,4265,,,6950,4240,6615,10000,5120,9025,2.587,0,,,,0.029,0.045,0.061,0.035,0.049,0.064,,,0.841,0.553,0.032,0.042,,,,,,,,,,,,,,,0.474364
1983,,6,,91,8,83,8,0,,,,,,,,,,,,,,,,,,,,,,,,,550,26,524,0,6070,4390,3225,2500,5785,4315,6285,6285,8485,4265,8450,11860,5545,11525,2.799,1,,,,0.045,0.06,0.077,0.052,0.066,0.079,,,0.845,0.556,0.035,0.043,,,,,,,,,,,,,,,0.491878
1984,,6,,92,7,85,7,0,,,,,,,,,,,,,,,,,,,,,,,,,648,24,624,0,7055,5780,3500,2720,6800,5035,2245,2505,8795,4430,8735,12880,6400,12880,2.739,1,,,,0.05,0.067,0.081,0.058,0.071,0.083,,,0.846,0.556,0.035,0.05,,,,,,,,,,,,,,,0.509814
1985,,6,,93,7,87,7,0,,,,,,,,,,,,,,,,,,,,,,,,,725,25,700,0,7760,6550,3725,3595,7500,6000,2620,2620,11005,4780,10805,15335,6520,15225,3.006,1,,,,0.048,0.059,0.073,0.052,0.061,0.075,,,0.847,0.557,0.04,0.057,,,,,,,,,,,,,,,0.528431
1986,,6,,94,5,88,5,0,,,,,,,,,,,,,,,,,,,,,,,,,761,20,741,0,8115,6730,3815,3165,7910,6355,3135,3135,11690,5475,11580,16810,6555,16755,2.819,1,,,,0.053,0.065,0.075,0.059,0.068,0.078,,,0.846,0.557,0.063,0.072,,,,,,,,,,,,,,,0.536539
1987,,6,,93,5,88,5,0,,,,,,,,,,,,,,,,,,,,,,,,,825,18,808,0,8915,7050,3525,2500,8740,6830,2710,2320,12595,4900,12580,17520,6525,17445,2.76,1,,,,0.048,0.062,0.077,0.055,0.065,0.079,,,0.846,0.556,0.059,0.076,,,,,,,,,,,,,,,0.556903
1988,,6,,82,4,78,4,0,,,,,,,,,,,,,,,,,,,,,,,,,786,14,771,0,9620,7250,3540,2345,9455,6830,3810,3495,12745,5000,12670,19860,6600,19650,2.8,1,,,,0.055,0.069,0.085,0.06,0.073,0.088,,,0.845,0.55,0.064,0.086,,,,,,,,,,,,,,,0.580705
1989,,6,,73,4,69,3,0,,,,,,,,,,,,,,,,,,,,,,,,,813,15,798,0,11160,8375,4050,3165,10990,8290,3985,3455,14790,4750,14665,23095,7545,22840,2.84,1,,,,0.044,0.062,0.082,0.054,0.067,0.084,,,0.844,0.545,0.063,0.08,,,,,,,,,,,,,,,0.60299
1990,,6,,71,3,68,3,0,,,,,,,,,,,,,,,,,,,,,,,,,870,12,859,1,12225,9190,3885,3240,12075,8970,3535,3230,16800,4900,16800,24870,6930,24645,2.913,1,,,,0.042,0.058,0.082,0.051,0.063,0.086,,,0.845,0.545,0.072,0.103,,,,,,,,,,,,,,,0.631967
1991,,6,,71,3,68,3,0,,,,,,,,,,,,,,,,,,,,,,,,,983,14,969,1,13940,10735,4975,3475,13805,10550,3670,2855,19015,6240,19000,28785,10610,28675,2.839,1,,,,0.031,0.044,0.067,0.035,0.048,0.071,,,0.839,0.545,0.063,0.101,,,,,,,,,,,,,,,0.648323
1992,,6,,75,2,73,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1126,11,1114,1,14985,11200,4885,3775,14870,11080,3620,3110,21285,5880,21220,31800,10875,31780,2.58,1,,,,0.032,0.045,0.064,0.036,0.048,0.066,,,0.837,0.543,0.058,0.093,,,,,,,,,,,,,,,0.665147
1993,,6,,79,3,76,3,0,,,,,,,,,,,,,,,,,,,,,,,,,1332,13,1319,1,16860,13550,4670,3760,16735,13335,5315,3885,23855,5765,23620,34695,9435,34620,2.433,1,,,,0.036,0.047,0.071,0.039,0.052,0.072,,,0.839,0.562,0.083,0.187,,,,,,,,,,,,,,,0.679709
1994,,6,,80,2,78,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1426,12,1414,1,17910,14050,5415,4360,17850,14050,5080,3200,26090,6955,25980,36675,10670,36565,2.411,1,,,,0.024,0.038,0.059,0.027,0.043,0.061,,,0.844,0.553,0.099,0.181,,,,,,,,,,,,,,,0.694281
1995,,6,,85,3,82,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1783,17,1767,2,20975,15575,6125,4715,20865,15460,5960,5925,29000,7965,29000,45005,13535,45050,2.395,1,,,,0.023,0.037,0.048,0.028,0.041,0.05,,,0.848,0.578,0.112,0.191,32605,0.034,0.423,0.37,,,,,18925,18115,96470,,18925,,0.707602
1996,,6,,95,4,92,3,0,,,,,,,,,,,,,,,,,,,,,,,,,2251,34,2217,3,23580,18315,8660,7550,23355,18255,8440,7200,33880,11440,33670,50770,17340,50470,2.115,1,0.672,0.006,0.67,0.023,0.033,0.043,0.027,0.037,0.044,0.021,0.035,0.874,0.564,0.286,0.199,39370,0.012,0.594,0.363,47958,0.16,0.126,0.047,29865,29515,63710,44145,29865,,0.724261
1997,,6,,102,4,98,3,0,,,,,,,,,,,,,,,,,,,,,,,,,2840,34,2806,2,27970,21170,9655,7945,27745,21015,6060,3745,39200,13655,38855,59390,19935,59065,2.232,1,0.612,0.004,0.61,0.02,0.027,0.036,0.023,0.028,0.038,0.022,0.022,0.876,0.564,0.315,0.204,35575,0.023,0.624,0.262,48887,0.25,0.111,0.033,26180,25905,50290,17545,26180,,0.732323
