fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,fst_sel_index1,fst_sel_index2,fst_sel_index3,fst_sel_index4,fst_sel_index5,fst_sel_index6,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_sel_index5,lst_sel_index6,fst_typen1,fst_typen2,fst_typen3,fst_typen4,fst_typen5,fst_typen6,lst_typen1,lst_typen2,lst_typen3,lst_typen4,lst_typen5,lst_typen6,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,graduated,grad2,grad4,i_cdr2,i_cdr3,i_cdr5,alt_cdr2,alt_cdr3,alt_cdr5,alt_cdr2_f,alt_cdr2_dnf,rr2,rr5,neg_am2,neg_am5,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,age_entry,cpi_adj
1989,,1,,678,675,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2208,2190,19,2,3260,2320,3240,2320,4540,2330,2460,2450,4165,4155,4605,5695,5685,8095,0.937,0,,,,0.419,0.531,0.606,0.487,0.557,0.615,,,0.878,0.82,0.314,0.369,,,,,,,,,,,,,,,0.60299
1990,,1,,673,671,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2518,2501,17,3,3740,2815,3725,2815,4740,3375,2635,2655,4830,4820,6000,6400,6380,10020,0.901,0,,,,0.486,0.572,0.64,0.538,0.592,0.648,,,0.973,0.892,0.336,0.38,,,,,,,,,,,,,,,0.631967
1991,,1,,538,536,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1989,1970,19,4,3695,2600,3675,2600,5380,2705,2845,2400,4720,4710,5735,6815,6790,10520,1.021,0,,,,0.446,0.53,0.604,0.493,0.554,0.613,,,0.941,0.829,0.323,0.344,,,,,,,,,,,,,,,0.648323
1992,,1,,427,425,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1721,1698,24,5,4035,2610,3990,2605,7485,3390,3470,2910,4960,4960,6595,7265,7210,19280,1.148,0,,,,0.369,0.462,0.545,0.42,0.485,0.556,,,0.852,0.69,0.291,0.314,,,,,,,,,,,,,,,0.665147
1993,,1,,343,342,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1445,1422,23,4,4210,2610,4155,2610,8115,3625,2980,2635,5085,5060,9545,7910,7850,21570,1.274,0,,,,0.339,0.419,0.509,0.38,0.445,0.519,,,0.85,0.635,0.234,0.307,,,,,,,,,,,,,,,0.679709
1994,,1,,260,259,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1238,1212,26,4,4765,3250,4680,3225,11315,7015,4165,2995,5880,5815,13210,9660,9440,33420,1.468,0,,,,0.242,0.341,0.423,0.289,0.368,0.433,,,0.856,0.56,0.219,0.287,,,,,,,,,,,,,,,0.694281
1995,,1,,228,228,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1274,1248,26,4,5580,4070,5485,4025,11605,6710,3885,2825,6740,6675,14395,11615,11415,26760,1.664,0,,,,0.206,0.295,0.374,0.256,0.324,0.381,,,0.857,0.587,0.209,0.299,22385,0.234,0.558,0.595,56491,0.132,0.102,0.038,13220,10180,31635,13220,,,0.707602
1996,,1,,219,218,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1397,1357,40,3,6385,4565,6220,4550,17095,12310,3795,3730,7295,7210,20285,13380,13140,36835,1.734,0,0.688,0.496,0.215,0.19,0.276,0.343,0.238,0.301,0.354,0.183,0.38,0.914,0.615,0.373,0.31,24350,0.272,0.637,0.599,54089,0.167,0.125,0.043,16145,12635,31340,16145,9360,,0.724261
1997,,1,,219,219,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1495,1452,43,3,6815,4895,6635,4850,19995,12585,4935,3235,7845,7730,27320,14310,14100,47975,1.779,0,0.697,0.509,0.213,0.16,0.236,0.315,0.204,0.256,0.329,0.163,0.324,0.94,0.683,0.418,0.333,27215,0.338,0.617,0.576,55747,0.149,0.124,0.044,18360,12875,36480,18355,37400,,0.732323
1998,,1,,216,215,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1656,1585,70,6,7670,5400,7365,5360,22855,15690,8830,5900,9130,8980,35240,15845,15450,46455,2.01,0,0.682,0.493,0.216,0.123,0.192,0.285,0.148,0.218,0.299,0.105,0.259,0.949,0.69,0.422,0.342,29190,0.352,0.592,0.558,55375,0.134,0.119,0.042,20010,15040,35905,20010,15845,,0.738253
