fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
2008,,,2,3599,3196,161,304,272,67467,46463,16826,4177,18745,11045,14540,9990,36165,26910,15385,9675,23620,20435,43335,43160,33425,81720,5.45,3,1793,1708,219,17210,13755,33635,9995,8940,25755,30855,23495,7360,39590,0.41,0.59,0.5,58157.8,0.16,0.1,0.04,27560,21715,39560,26930,40460,39350,0.910217
2009,,,2,4243,3794,188,369,298,85463,59227,21445,4787,20140,12035,15610,10760,38545,28150,16090,9950,25420,22015,46860,46205,35730,87785,5.44,3,2109,2006,270,18035,14225,35140,10260,9280,26700,38030,28540,9490,38550,0.4,0.6,0.5,57684.9,0.16,0.1,0.04,26405,20670,38500,25835,39625,37945,0.929017
2010,,,2,4876,4375,214,442,333,105802,73465,26750,5578,21700,13020,16790,11870,40785,29230,16725,10050,27475,23775,49685,49690,38530,92235,5.43,3,2496,2375,329,19245,14980,37825,10755,9870,28220,48025,35580,12445,37530,0.4,0.61,0.51,57284.3,0.16,0.1,0.04,25375,19690,37390,24815,39035,35240,0.941916
2011,,,2,5326,4783,231,502,369,127298,88203,32512,6567,23900,14650,18440,13305,44350,31470,17810,10470,30580,26355,54685,54570,42365,100520,5.37,3,3001,2860,403,20980,16325,40390,11815,10680,29680,62960,46685,16280,36705,0.4,0.62,0.51,57009.8,0.17,0.1,0.04,24560,18835,36395,24030,38045,32020,0.965479
2012,,,2,5680,5124,242,557,376,147261,101719,38255,7266,25925,15775,19855,14335,47915,33515,19300,11135,33455,28735,59565,59125,46035,108780,5.31,2,3537,3377,482,23065,17865,44045,13235,11865,31800,81565,60330,21235,35970,0.4,0.62,0.51,56757.9,0.17,0.1,0.04,23935,18160,35690,23410,37455,31270,0.980216
2013,,,2,5953,5394,250,610,374,165755,114250,43785,7699,27840,16820,21180,15260,50920,35245,20580,11555,36135,30835,63520,62975,49720,115180,5.24,2,4051,3874,561,25290,19545,47630,14640,13150,33735,102450,75725,26725,35365,0.4,0.63,0.51,56518.2,0.17,0.11,0.04,23440,17555,35055,22945,36470,31235,0.992323
2014,,,2,6198,5639,256,658,369,184086,126637,49448,7979,29700,17785,22455,16135,54100,37010,21655,11860,38565,32805,67150,66505,53255,122065,5.15,2,4579,4387,651,27785,21320,51730,16175,14525,36045,127230,93535,33695,34940,0.41,0.63,0.51,56320.1,0.18,0.11,0.04,23070,17095,34380,22580,35885,30985,1
1970,,,3,5,5,0,0,0,5,4,0,0,900,890,880,890,1550,1595,,,890,890,1780,1335,1335,3255,5.41,1,0,0,0,885,885,,885,885,,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,,3,11,11,0,0,0,12,12,1,0,1115,890,1100,890,1355,1335,,,1335,1335,1780,1780,1780,2135,4.73,0,1,1,0,790,790,,840,840,,0,0,0,,,,,,,,,,,,,,,0.217343
1972,,,3,18,18,1,0,0,23,22,1,0,1255,890,1250,890,1225,1070,,,1470,1415,1780,2450,2450,2135,4.94,0,2,2,0,950,935,1635,850,850,1635,0,0,0,,,,,,,,,,,,,,,0.224633
