fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1970,1,,,175,163,11,1,0,213,194,19,0,1220,890,1190,890,1490,1335,,,1335,1335,1335,2120,1960,2670,5.57,1,2,2,0,1085,1060,1195,885,875,1295,0,0,0,,,,,,,,,,,,,,,0.209694
1971,1,,,303,283,20,4,0,468,427,41,0,1545,1335,1510,1335,1685,1335,,,1780,1780,2225,2670,2670,2670,5.61,1,14,13,2,1105,1070,1265,865,865,1180,15,15,0,,,,,,,,,,,,,,,0.217343
1972,1,,,422,393,29,8,0,733,666,67,0,1740,1335,1695,1335,1785,1335,,,2225,2225,2405,3115,3115,3340,5.7,1,53,49,5,1190,1155,1365,880,875,1255,65,55,5,,,,,,,,,,,,,,,0.224633
1973,1,,,533,494,39,14,0,1000,897,103,0,1875,1335,1815,1335,1945,1335,,,2630,2515,2665,3560,3560,3820,5.74,1,113,103,11,1385,1345,1545,1190,1155,1255,155,140,15,,,,,,,,,,,,,,,0.24199
1974,1,,,647,597,51,21,0,1302,1151,151,0,2010,1500,1930,1335,2105,1500,,,2670,2665,2670,4005,3745,4005,5.87,1,183,167,20,1570,1510,1755,1250,1215,1280,285,255,35,,,,,,,,,,,,,,,0.269745
1975,1,,,770,708,62,30,0,1634,1429,205,0,2120,1660,2020,1515,2225,1780,,,2670,2670,2670,4080,4005,4450,6,1,255,232,30,1715,1640,1920,1305,1290,1320,440,380,55,,,,,,,,,,,,,,,0.287627
1976,1,,,907,829,78,43,0,2021,1741,280,0,2230,1780,2100,1665,2310,1780,,,2810,2670,2795,4450,4005,4450,6.1,1,318,288,39,1835,1750,2020,1410,1320,1540,585,505,80,,,,,,,,,,,,,,,0.302189
1977,1,,,1128,1027,100,61,0,2678,2261,417,0,2375,1780,2200,1780,2585,1980,,,3115,2745,3430,4705,4415,5150,6.14,2,401,363,51,1910,1810,2100,1470,1395,1620,765,660,110,,,,,,,,,,,,,,,0.322139
1978,1,,,1428,1295,133,88,0,3651,3007,644,0,2555,1975,2325,1780,2910,2225,,,3340,3025,4005,5090,4450,6230,6.14,2,506,456,71,2010,1875,2285,1530,1455,1720,1020,855,165,,,,,,,,,,,,,,,0.346492
1979,1,,,2000,1808,192,127,0,5481,4429,1052,0,2740,2225,2450,2135,3300,2225,,,3560,3115,4450,5340,4555,6800,6.03,2,634,570,96,2135,1955,2485,1595,1515,1890,1355,1115,240,,,,,,,,,,,,,,,0.381639
1980,1,,,3016,2723,293,197,0,8810,6997,1813,0,2920,2225,2570,2225,3700,2970,,,4005,3380,4450,5670,4515,8070,5.8,2,807,724,132,2290,2055,2725,1700,1595,1970,1850,1490,360,,,,,,,,,,,,,,,0.42186
1981,1,,,4397,3957,432,287,8,14390,11186,3180,24,3275,2225,2825,2225,4425,4130,2970,2640,4450,4005,5325,6510,5120,8900,5.62,2,1099,983,192,2485,2185,3045,1920,1770,2145,2730,2150,585,,,,,,,,,,,,,,,0.452594
1982,1,,,5354,4822,509,350,23,18700,14385,4246,69,3490,2320,2985,2225,4945,4370,2950,2610,4450,4280,6765,6675,5610,9755,5.56,2,1607,1433,293,2725,2350,3460,2095,1995,2600,4385,3370,1015,,,,,,,,,,,,,,,0.474364
1983,1,,,6382,5739,587,404,56,23321,17821,5332,168,3655,2490,3105,2225,5375,4420,3020,2580,4450,4370,7890,7105,6200,11800,5.49,2,2290,2040,419,3005,2560,3965,2165,2100,3250,6885,5220,1660,,,,,,,,,,,,,,,0.491878
1984,1,,,7583,6815,674,467,95,28448,21596,6557,294,3750,2500,3170,2225,5745,4450,3095,2535,4450,4370,8315,7500,6395,12915,5.41,2,3048,2718,546,3230,2735,4440,2235,2140,3575,9855,7430,2425,,,,,,,,,,,,,,,0.509814
1985,1,,,8919,8025,755,535,142,34034,25744,7839,451,3815,2500,3210,2225,6080,4450,3185,2510,4450,4370,8710,7695,6460,13350,5.31,1,3909,3501,672,3390,2855,4850,2440,2175,3605,13260,10000,3260,,,,,,,,,,,,,,,0.528431
1986,1,,,10193,9190,820,591,185,38847,29402,8861,584,3810,2500,3200,2225,6280,4450,3155,2480,4450,4315,8900,7650,6460,13570,5.21,1,4887,4399,805,3480,2915,5170,2500,2200,3740,16995,12835,4160,,,,,,,,,,,,,,,0.536539
1987,1,,,11411,10304,872,642,238,44112,33201,10157,754,3865,2500,3220,2335,6705,4450,3160,2435,4560,4270,8900,7775,6495,15015,5.11,1,5873,5309,931,3530,2940,5500,2500,2215,3850,20740,15620,5115,70565,0,1,0.33,53874.3,0.25,0.14,0.04,76110,76110,,76110,,,0.556903
1988,1,,,12715,11456,930,693,336,50713,37840,11786,1087,3990,2595,3305,2345,7260,4940,3235,2485,4715,4315,9985,7965,6615,16650,5,1,7024,6397,1045,3565,2960,5845,2500,2290,3890,25035,18925,6110,45925,0,1,0.33,55884.6,0.21,0.12,0.05,57760,57760,,57760,,,0.580705
1989,1,,,13938,12503,986,741,462,57378,42396,13435,1547,4115,2655,3390,2500,7780,5145,3345,2945,4890,4450,10360,8195,6775,18175,4.91,1,8065,7387,1135,3640,3020,6220,2500,2330,3900,29360,22300,7060,41585,0,0.77,0.45,60165,0.24,0.1,0.04,44375,44375,,44375,,,0.60299
1990,1,,,14896,13278,1043,783,595,64113,46624,15415,2074,4305,2690,3510,2625,8445,5500,3485,3045,5075,4585,11500,8675,7120,20425,4.86,1,8942,8220,1216,3770,3115,6665,2605,2475,4000,33705,25605,8100,41585,0,0.77,0.45,60165,0.24,0.1,0.04,44375,44375,,44375,,,0.631967
1991,1,,,15578,13785,1089,811,730,71260,50996,17585,2679,4575,2755,3700,2625,9255,5890,3665,3080,5300,4840,12310,9415,7605,22670,4.85,1,9433,8685,1257,3955,3240,7285,2640,2545,4350,37310,28150,9160,40520,0,0.8,0.46,63572,0.22,0.1,0.04,44375,44375,,44375,,,0.648323
1992,1,,,16036,14077,1123,830,870,78697,55465,19880,3352,4910,2840,3940,2685,10180,6685,3850,3080,5665,5135,14050,10325,8200,24130,4.87,2,9607,8849,1276,4240,3430,8110,2685,2615,4810,40715,30370,10345,40520,0,0.8,0.46,63572,0.22,0.1,0.04,44375,44375,,44375,,,0.665147
1993,1,,,16403,14329,1153,842,960,88795,61907,22855,4032,5415,3200,4320,2835,11455,7500,4200,3105,6330,5500,16035,11520,9235,28285,4.92,2,9628,8864,1284,4650,3720,9175,2805,2690,5255,44780,32995,11785,39475,0,0.81,0.5,62989.6,0.21,0.09,0.04,42910,42910,,42910,,,0.679709
1994,1,,,17060,14843,1213,877,1047,104237,71368,27732,5137,6110,3565,4810,3175,13265,8500,4905,3400,7200,6125,18565,13340,10540,32600,4.94,2,9747,8965,1309,5035,3970,10295,2905,2780,6000,49080,35600,13480,40880,0,0.72,0.56,64370.1,0.2,0.09,0.04,42910,42910,,42910,,,0.694281
1995,1,,,17591,15234,1270,927,1132,121890,81928,33511,6451,6930,3995,5380,3550,15245,9935,5700,3710,8250,6915,20365,15420,11885,37435,4.96,2,9825,9019,1340,5575,4315,11820,3180,2865,6980,54765,38925,15840,44945,0.57,0.58,0.4,57328.6,0.15,0.11,0.04,33895,15970,54830,35145,19955,40250,0.707602
1996,1,,,18278,15783,1326,991,1219,142554,94513,40012,8030,7800,4465,5990,3955,17265,11370,6585,4095,9385,7810,23500,17350,13615,40500,5.01,2,9995,9158,1394,6295,4805,13585,3570,3180,8060,62940,44000,18940,46110,0.59,0.58,0.39,56878.9,0.14,0.11,0.04,34895,16175,55205,35985,22550,44780,0.724261
1997,1,,,18949,16327,1374,1070,1303,164908,108002,47096,9810,8705,5000,6615,4395,19260,12870,7530,4570,10585,8805,26430,19380,15150,46115,5.05,2,10228,9351,1474,7150,5360,15600,3975,3550,9425,73115,50125,22990,46890,0.6,0.58,0.39,57168.4,0.14,0.11,0.04,35555,16515,55495,36640,23620,48050,0.732323
1998,1,,,19946,17202,1432,1207,1378,190717,124251,54818,11648,9560,5260,7225,4685,20775,13000,8455,5055,11625,9750,28535,21575,16630,51475,5.09,2,10794,9860,1615,8605,6350,18760,4605,4120,11025,92905,62600,30305,47900,0.61,0.58,0.39,58104.1,0.14,0.1,0.04,36365,16945,56065,37470,24995,46380,0.738253
1999,1,,,20572,17718,1462,1316,1462,216136,139436,63137,13563,10505,5800,7870,5145,22725,14435,9280,5525,12875,10795,30870,23735,17865,56485,5.13,3,11075,10102,1722,9800,7140,21135,5125,4560,12620,108510,72125,36385,49040,0.62,0.58,0.39,60069.4,0.12,0.09,0.04,37260,17205,56805,38450,26680,45840,0.753413
2000,1,,,21073,18103,1486,1416,1560,240339,153308,71350,15681,11405,6270,8470,5525,24590,15650,10055,6020,13970,11650,33470,25855,19155,59320,5.17,3,11270,10263,1820,10930,7870,23305,5735,5010,14070,123160,80750,42410,50195,0.63,0.58,0.39,60347.5,0.12,0.09,0.04,38275,17665,57575,39425,28785,45265,0.77168
2001,1,,,21673,18600,1505,1524,1651,265906,168349,79807,17751,12270,6755,9050,6000,26345,16750,10750,6485,14825,12485,35605,27890,20365,62315,5.19,3,11478,10454,1901,12085,8605,25650,6355,5500,15460,138720,89960,48760,51230,0.63,0.58,0.39,60323.9,0.12,0.09,0.04,38970,18030,58230,40160,30770,44340,0.779909
2002,1,,,22604,19386,1548,1688,1767,294357,185024,89121,20212,13025,7115,9545,6310,27540,17150,11440,6830,15610,13245,36810,29660,21460,64960,5.2,3,11803,10764,2007,13115,9250,27515,6855,5920,16450,154770,99560,55210,52155,0.64,0.58,0.39,60413.9,0.12,0.09,0.04,39600,18390,58790,40735,33130,44260,0.796383
2003,1,,,23857,20434,1606,1899,1931,328213,204154,100079,23981,13755,7495,9990,6635,28550,17990,12420,7080,16430,13865,37390,31580,22405,66990,5.19,3,12283,11235,2134,14040,9810,29170,7250,6285,17400,172475,110230,62240,52600,0.63,0.58,0.39,60381.6,0.12,0.09,0.04,39670,18575,58865,40745,34885,44710,0.811654
2004,1,,,25297,21643,1669,2121,2122,368340,226037,113223,29079,14560,7935,10445,6855,29870,18750,13705,7640,17305,14415,38420,33770,23385,69020,5.16,3,12929,11856,2302,15000,10365,30850,7700,6655,18605,193910,122905,71005,52960,0.63,0.58,0.39,60378.7,0.12,0.09,0.04,39705,18695,59000,40710,36735,44460,0.834702
2005,1,,,26756,22862,1708,2375,2350,411200,250542,128463,32195,15370,8385,10960,7225,31465,19920,13700,7790,18265,15055,40880,35960,24595,72280,5.12,3,13817,12694,2542,16115,10975,32780,8355,7070,20125,222630,139290,83340,53260,0.63,0.59,0.39,60351.9,0.12,0.09,0.04,39745,18660,59045,40725,38065,44110,0.858669
2006,1,,,28108,24106,1738,2642,2459,460577,278335,145196,37047,16385,8940,11545,7745,33150,21755,15065,8605,19525,15880,43470,38495,25955,75530,5.09,3,14812,13642,2803,17195,11615,34345,9095,7615,21855,254725,158435,96290,53465,0.64,0.59,0.39,60337.2,0.12,0.09,0.04,39710,18520,59020,40645,39410,43580,0.876992
2007,1,,,29490,25337,1810,2904,2561,515125,307486,165669,41970,17470,9540,12135,8240,35140,23240,16390,9335,20700,16585,46335,41225,27290,80525,5.04,3,15649,14453,2991,18020,12185,35420,9685,8095,23035,282035,176100,105940,53615,0.64,0.59,0.39,60325,0.13,0.09,0.04,39575,18410,58910,40440,40600,42950,0.906824
2008,1,,,31106,26771,1911,3167,2665,577490,341865,189211,46412,18565,10280,12770,8840,37260,24660,17420,9860,21790,17165,48990,43730,28540,86290,4.99,3,16628,15375,3219,18815,12670,36680,10150,8495,24125,312875,194800,118075,53795,0.64,0.59,0.4,60328,0.13,0.09,0.04,39325,18250,58800,40110,41475,42550,0.910217
2009,1,,,33491,28846,2059,3475,2858,656717,388562,216811,51291,19610,10880,13470,9560,39180,25685,17945,10030,22860,18150,50860,45765,29940,91995,4.9,3,18044,16689,3538,19580,13070,38190,10490,8805,25135,353280,218150,135130,53895,0.63,0.59,0.4,60325.7,0.13,0.09,0.04,38790,17975,58640,39455,42370,41220,0.929017
2010,1,,,35960,30974,2197,3789,3109,745656,440911,247183,57438,20735,11520,14235,9970,41295,26805,18475,10170,24230,19290,52890,48125,31670,97745,4.8,3,19577,18128,3860,20510,13610,40115,10850,9255,26095,401565,246705,154860,53550,0.63,0.59,0.4,60288.9,0.13,0.09,0.04,37980,17590,58125,38525,43080,39190,0.941916
2011,1,,,38312,32993,2318,4092,3380,848406,501619,281070,65526,22145,12320,15205,10595,43855,28155,19390,10650,26055,20665,55720,51150,33905,105065,4.69,3,21617,20054,4238,21725,14460,42385,11415,9835,27210,469600,289970,179630,53135,0.63,0.6,0.4,60265.5,0.13,0.09,0.04,37185,17140,57340,37645,43505,35870,0.965479
2012,1,,,40200,34759,2384,4353,3465,947121,559190,314795,72918,23560,12995,16090,11140,46725,29750,21045,11530,27940,22025,59275,54430,36235,112905,4.58,3,24006,22328,4646,22935,15320,44890,12000,10310,28485,550620,342040,208580,52665,0.63,0.6,0.4,60193.9,0.13,0.09,0.04,36435,16685,56515,36800,43915,35140,0.980216
2013,1,,,41555,36065,2425,4578,3491,1.00E+06,611736,345899,79300,24960,13675,16960,11690,49390,31130,22715,12145,29630,23410,62550,57750,38600,119970,4.46,2,26331,24548,5044,24315,16315,47530,12695,10845,29900,640305,400550,239760,52380,0.63,0.6,0.4,60139.9,0.13,0.09,0.04,35940,16350,55785,36205,44185,34565,0.992323
2014,1,,,42792,37247,2460,4803,3535,1.10E+06,662170,377336,85941,26305,14245,17780,12135,51955,32095,24310,12680,31160,24600,65550,61025,40890,126540,4.32,2,28842,26967,5450,25775,17400,50320,13425,11445,31295,743455,469200,274255,52250,0.63,0.6,0.4,60106.9,0.13,0.09,0.04,35585,16070,55175,35805,44340,33640,1
1970,,1,,8,8,0,0,0,9,9,0,0,1145,890,1120,890,1610,1335,,,1335,1335,1335,1780,1780,1335,3.98,0,0,0,0,895,865,1295,860,860,1295,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,1,,16,16,1,0,0,21,20,1,0,1270,1115,1255,1070,1445,1335,,,1335,1335,1335,2225,2225,2670,4.16,0,2,2,0,1055,980,2040,865,865,1015,0,0,0,,,,,,,,,,,,,,,0.217343
1972,,1,,26,25,1,0,0,35,34,1,0,1345,1255,1325,1245,1590,1335,,,1335,1335,2065,2670,2655,2670,4.21,0,5,5,0,1025,1000,1460,855,855,870,5,5,0,,,,,,,,,,,,,,,0.224633
1973,,1,,35,35,1,0,0,49,47,2,0,1385,1250,1355,1245,1635,1335,,,1500,1365,2225,2670,2640,2670,4.35,0,11,11,0,1105,1095,1375,890,885,1020,15,10,0,,,,,,,,,,,,,,,0.24199
1974,,1,,47,45,1,1,0,66,64,3,0,1425,1280,1405,1280,1630,1290,,,1640,1560,2135,2620,2590,3560,4.69,0,18,18,1,1175,1160,1315,1035,1025,870,20,20,0,,,,,,,,,,,,,,,0.269745
1975,,1,,60,59,1,1,0,91,87,3,0,1510,1320,1485,1320,1835,1380,,,1780,1780,2225,2670,2635,3815,4.93,0,25,24,1,1215,1200,1325,1090,1085,1085,30,30,0,,,,,,,,,,,,,,,0.287627
1976,,1,,76,75,1,1,0,118,114,4,0,1560,1335,1530,1335,1880,1445,,,1780,1780,2180,2670,2670,3815,4.99,0,32,31,1,1265,1255,1240,1145,1145,980,40,40,0,,,,,,,,,,,,,,,0.302189
1977,,1,,100,98,2,1,0,163,157,6,0,1630,1335,1595,1335,2155,1680,,,1800,1780,2255,2685,2670,4450,5.02,0,44,43,1,1305,1300,1255,1180,1180,1010,60,55,0,,,,,,,,,,,,,,,0.322139
1978,,1,,137,134,3,1,0,240,229,10,0,1750,1365,1705,1345,2550,1780,,,2225,2225,3050,3000,2850,5340,5.03,0,59,58,1,1360,1355,1290,1205,1205,1105,80,80,0,,,,,,,,,,,,,,,0.346492
1979,,1,,192,189,3,2,0,365,350,15,0,1900,1585,1850,1575,2715,1780,,,2225,2225,3365,3345,3200,7120,5.04,0,79,78,2,1460,1445,1640,1250,1250,1170,115,115,5,,,,,,,,,,,,,,,0.381639
1980,,1,,294,289,5,3,0,595,571,24,0,2025,1870,1975,1850,2915,2225,,,2225,2225,4180,3560,3425,5855,4.92,0,108,106,3,1595,1575,1870,1370,1365,1500,170,165,5,,,,,,,,,,,,,,,0.42186
1981,,1,,453,445,7,5,0,992,952,39,1,2190,2185,2135,2175,3150,2225,2805,2625,2225,2225,3970,3990,3780,8000,4.8,0,158,155,4,1715,1685,2250,1545,1540,1615,270,260,10,,,,,,,,,,,,,,,0.452594
1982,,1,,650,639,9,6,1,1454,1400,51,3,2240,2215,2190,2215,3240,2225,2240,2460,2225,2225,3600,4005,3910,7930,4.7,0,258,254,7,1900,1870,2310,1820,1815,1965,490,475,15,,,,,,,,,,,,,,,0.474364
1983,,1,,930,913,11,8,5,2148,2074,61,12,2310,2225,2270,2225,3290,2225,2265,2495,2225,2225,3360,4150,4080,7220,4.6,0,402,396,10,2070,2040,2515,1995,1990,1995,835,810,25,,,,,,,,,,,,,,,0.491878
1984,,1,,1285,1258,13,9,14,3045,2938,75,32,2370,2225,2335,2225,3435,2225,2335,2470,2225,2225,3680,4135,4080,8075,4.51,0,577,570,12,2160,2130,2655,2040,2035,2000,1245,1215,30,,,,,,,,,,,,,,,0.509814
1985,,1,,1760,1721,15,10,24,4240,4098,87,56,2410,2225,2380,2225,3435,2225,2375,2435,2380,2275,3305,4160,4130,8020,4.37,0,818,809,14,2230,2205,2835,2070,2070,1980,1825,1785,40,,,,,,,,,,,,,,,0.528431
1986,,1,,2328,2273,17,12,38,5653,5466,97,90,2430,2225,2405,2225,3375,2225,2395,2420,2500,2500,3015,4175,4145,7340,4.21,0,1130,1120,16,2290,2265,3070,2090,2085,2015,2590,2540,50,,,,,,,,,,,,,,,0.536539
1987,,1,,2999,2924,18,13,57,7539,7282,113,144,2515,2225,2490,2225,3555,2225,2510,2375,2625,2620,3350,4325,4310,7890,4.02,0,1523,1511,19,2330,2305,3075,2100,2095,2095,3545,3485,60,,,,,,,,,,,,,,,0.556903
1988,,1,,3748,3640,20,16,90,10182,9811,135,237,2715,2335,2695,2335,3790,2325,2625,2350,2875,2810,3705,4670,4670,8295,3.85,0,2131,2117,22,2415,2400,3290,2130,2125,2110,5150,5075,75,,,,,,,,,,,,,,,0.580705
1989,,1,,4407,4259,20,17,132,12705,12199,150,356,2885,2335,2865,2335,3990,2335,2695,2510,3395,3390,3930,5230,5220,7680,3.71,0,2723,2708,26,2590,2570,3605,2225,2225,2285,7060,6965,95,,,,,,,,,,,,,,,0.60299
1990,,1,,4850,4667,21,18,169,14518,13885,166,467,2995,2500,2975,2500,4240,2545,2760,2720,3520,3540,4265,5490,5475,8630,3.64,0,3271,3255,28,2800,2780,3840,2300,2300,2500,9150,9040,110,,,,,,,,,,,,,,,0.631967
1991,,1,,5082,4870,21,19,200,15852,15106,178,568,3120,2610,3100,2600,4405,2620,2845,2700,3700,3730,4450,5740,5715,8525,3.6,0,3607,3590,30,2940,2920,3885,2520,2515,2565,10600,10480,120,,,,,,,,,,,,,,,0.648323
1992,,1,,5167,4933,21,19,223,16726,15890,188,648,3235,2625,3220,2625,4605,2625,2905,2670,3895,3910,4615,6060,6045,8755,3.57,0,3773,3754,32,3085,3070,4055,2580,2575,2610,11645,11520,130,,,,,,,,,,,,,,,0.665147
1993,,1,,5099,4851,21,20,238,17641,16687,213,741,3460,2630,3440,2625,5255,2765,3115,2715,4190,4195,5080,6560,6545,11605,3.55,0,3800,3781,32,3320,3295,4305,2630,2630,2690,12610,12470,140,,,,,,,,,,,,,,,0.679709
1994,,1,,5080,4821,21,20,250,18525,17413,266,846,3645,2685,3610,2680,6460,2975,3390,2715,4405,4385,5860,6860,6820,16435,3.54,0,3803,3784,32,3435,3415,4565,2675,2675,2765,13060,12915,145,,,,,,,,,,,,,,,0.694281
1995,,1,,5020,4752,20,21,260,19373,18092,325,956,3860,2750,3805,2740,7860,3225,3680,2775,4660,4630,6470,7365,7300,19545,3.52,0,3757,3739,32,3600,3570,5200,2705,2700,2850,13520,13350,170,28175,0.31,0.64,0.55,56902.9,0.16,0.11,0.04,19270,14710,36920,19245,5440,27790,0.707602
1996,,1,,4977,4703,20,24,265,20629,19140,415,1074,4145,2825,4070,2815,9545,3715,4055,3055,5040,5000,8580,7985,7880,24665,3.51,0,3707,3689,33,3835,3800,6025,2800,2795,3095,14225,14025,195,28670,0.32,0.64,0.55,57062.8,0.16,0.11,0.04,19360,14515,35940,19345,13500,28430,0.724261
1997,,1,,4939,4662,20,26,270,21991,20257,519,1215,4450,3000,4345,2965,11305,4115,4505,3410,5420,5370,11640,8750,8615,29875,3.51,0,3654,3636,33,4075,4035,6835,2860,2855,3345,14895,14670,225,29375,0.34,0.63,0.54,57547.1,0.16,0.11,0.04,19990,15085,35785,19930,32880,35395,0.732323
1998,,1,,4993,4709,20,30,276,25141,23100,671,1370,5035,3530,4905,3505,13450,4885,4960,3760,6205,6155,14760,10355,10235,36480,3.52,0,3661,3643,35,4725,4660,8960,3435,3425,3835,17295,16975,315,29870,0.35,0.63,0.54,57420.5,0.15,0.11,0.04,20535,15420,35505,20495,34725,34480,0.738253
1999,,1,,4958,4657,19,36,295,27723,25225,856,1642,5590,3810,5415,3775,15540,6010,5575,4075,6815,6770,18010,11725,11575,39360,3.54,0,3567,3549,37,5275,5180,11650,3700,3695,4245,18820,18390,430,30550,0.35,0.62,0.54,57287.2,0.15,0.11,0.04,21045,15855,35810,20995,35855,33710,0.753413
2000,,1,,4945,4624,19,41,316,30006,26952,1093,1961,6065,4055,5830,4005,18170,7520,6200,4400,7345,7245,22370,12845,12630,45900,3.56,0,3490,3473,38,5665,5545,13525,3905,3895,4690,19765,19250,520,31710,0.37,0.6,0.54,57639.6,0.15,0.11,0.04,21750,16445,36485,21710,33520,32480,0.77168
2001,,1,,5000,4655,19,50,342,33035,29279,1414,2343,6605,4370,6290,4305,20650,9285,6850,4850,7965,7820,27195,14065,13750,52045,3.55,0,3443,3426,41,6135,5960,16840,4150,4135,5390,21115,20415,695,32755,0.38,0.59,0.54,57524.5,0.15,0.11,0.04,22430,16795,37060,22400,34270,32090,0.779909
2002,,1,,5150,4780,19,66,369,37088,32456,1878,2754,7200,4630,6790,4555,22165,11045,7465,5185,8650,8445,28385,15240,14815,53175,3.58,0,3456,3439,47,6620,6390,19235,4380,4365,6665,22880,21980,900,33800,0.39,0.59,0.54,57607.9,0.16,0.11,0.04,23000,17000,37800,22960,36650,33565,0.796383
2003,,1,,5414,5012,19,91,404,42267,36327,2611,3328,7805,4905,7250,4815,23870,13700,8230,5470,9260,9040,31175,16625,15925,57055,3.61,1,3535,3518,55,7090,6790,21760,4585,4570,8760,25070,23880,1190,34190,0.4,0.59,0.54,57454,0.16,0.11,0.04,23260,17065,37755,23225,37220,33895,0.811654
2004,,1,,5799,5354,19,122,451,49257,41444,3593,4220,8495,5210,7740,5100,25460,17350,9350,5935,10025,9695,32615,18350,17250,57210,3.64,1,3679,3662,66,7575,7185,23540,4800,4780,11620,27870,26310,1560,34590,0.4,0.6,0.54,57335.2,0.16,0.11,0.04,23470,17200,37755,23425,37595,33870,0.834702
2005,,1,,6212,5718,20,161,504,57099,47352,4953,4794,9190,5565,8280,5455,27440,18710,9510,6180,10735,10405,35970,20230,18720,60190,3.69,1,3894,3876,84,8185,7655,25895,5070,5045,15125,31860,29680,2180,34865,0.41,0.61,0.54,57176.9,0.16,0.11,0.04,23625,17160,37730,23580,37225,34045,0.858669
2006,,1,,6633,6118,20,205,532,66780,54534,6682,5565,10065,5995,8915,5850,29770,21655,10470,6715,11735,11215,37960,22270,20470,66305,3.73,1,4171,4154,109,8900,8220,27460,5425,5385,18015,37125,34140,2985,34750,0.41,0.62,0.54,56932.5,0.16,0.11,0.04,23465,16900,37410,23425,37060,34695,0.876992
2007,,1,,7107,6573,20,258,556,78226,63008,8897,6321,11005,6450,9585,6275,32080,23600,11365,7265,12730,12080,39880,24600,22105,73340,3.77,1,4452,4435,134,9625,8785,29025,5800,5745,21010,42850,38970,3880,34590,0.42,0.62,0.54,56751.7,0.17,0.11,0.04,23315,16710,36950,23275,37710,34450,0.906824
2008,,1,,7709,7155,20,314,582,93016,74416,11595,7004,12065,7015,10400,6855,34775,25745,12035,7605,14000,13290,42740,27070,24010,79590,3.81,1,4784,4767,159,10315,9320,30955,6145,6080,23245,49355,44435,4920,34335,0.42,0.63,0.54,56568.8,0.17,0.11,0.04,23005,16460,36325,22970,37385,33640,0.910217
2009,,1,,8589,7999,19,380,627,113867,91046,14983,7834,13260,7630,11380,7490,37555,27730,12500,7775,15400,14765,46365,29890,26420,86025,3.81,1,5244,5227,193,11080,9885,33245,6565,6485,24940,58090,51675,6415,33830,0.41,0.63,0.54,56300.7,0.17,0.11,0.04,22405,15945,35520,22370,37010,32845,0.929017
2010,,1,,9487,8846,19,454,692,137650,109840,18906,8896,14510,8375,12415,8250,39945,29060,12860,7680,16930,16195,49580,33055,29075,90900,3.8,1,5824,5807,234,12090,10650,36580,7085,6985,27295,70415,61845,8570,33295,0.41,0.64,0.54,56099,0.17,0.11,0.04,21910,15530,34690,21885,36475,31340,0.941916
2011,,1,,10153,9461,19,516,758,163785,130271,23243,10258,16130,9355,13770,9225,43445,31345,13535,7890,19075,18090,54550,36995,32385,98295,3.75,1,6600,6584,290,13610,11905,39590,8075,7965,29235,89830,78365,11470,32775,0.42,0.64,0.54,55974.5,0.17,0.11,0.04,21455,15050,34020,21430,35750,29090,0.965479
2012,,1,,10689,9990,19,571,772,187324,148330,27777,11199,17525,9815,14850,9730,47060,33680,14505,8255,20605,19615,59635,40820,35410,106330,3.7,1,7446,7430,351,15135,13105,43745,8810,8660,31875,112705,97360,15345,32250,0.42,0.64,0.54,55831.5,0.18,0.11,0.04,21010,14525,33395,20980,35165,28290,0.980216
2013,,1,,11029,10342,19,625,763,208158,164325,32116,11699,18875,10345,15890,10215,49885,35385,15325,8360,22115,20935,63505,44855,38505,111715,3.67,1,8176,8160,414,16770,14405,47250,9625,9445,34050,137100,117555,19545,31875,0.42,0.64,0.54,55686.1,0.18,0.11,0.04,20690,14185,32845,20670,34395,27850,0.992323
2014,,1,,11350,10677,18,674,751,228542,179849,36652,12023,20135,10840,16845,10715,52990,37345,16015,8485,23610,22290,66910,48440,41290,118035,3.61,1,8908,8891,490,18525,15745,51060,10340,10165,36500,165015,140000,25015,31575,0.43,0.65,0.54,55558.1,0.18,0.11,0.04,20435,13865,32310,20410,33865,27255,1
1970,,2,,7,7,0,0,0,7,7,0,0,970,890,950,890,1530,1510,,,890,890,1780,1580,1335,2225,5.77,1,0,0,0,990,990,,975,975,,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,2,,16,15,1,0,0,18,18,1,0,1170,890,1155,890,1335,1335,,,1335,1335,1600,2025,2005,2135,4.87,0,1,1,0,895,875,700,860,860,700,0,0,0,,,,,,,,,,,,,,,0.217343
