full_sample,sel_index,typen,fy,borrowers,mn_earnings,md_earnings,p25_earnings,p75_earnings,mn_tot_inc,md_tot_inc,unemployed,in_pov,near_pov,mn_debt_service,mn_grad2_earnings,mn_grad4_earnings,mn_grad0_earnings,md_debt_service,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad,mn_grad_l,md_grad_l
,,1,2003,2641,27000,23000,11241,36942,28750,20250,0.317,0.423,0.535,1355,28250,39000,23250,960,7545,5210,7325,5195,20025,6805
,,1,2004,2692,27000,23000,11275,36875,29000,20500,0.318,0.421,0.533,1325,28250,39750,23250,930,7720,5250,7465,5240,21190,7465
,,1,2005,2777,27000,23000,11545,36635,29000,20500,0.31,0.415,0.53,1305,28250,39500,23250,915,7905,5370,7620,5355,22325,8120
,,1,2006,2892,27500,23250,11899,37037,29500,21000,0.301,0.408,0.522,1330,28750,41000,23500,935,8205,5540,7880,5525,24125,9645
,,1,2007,3007,27500,23250,11907,36799,29500,21000,0.297,0.405,0.523,1370,28500,41500,23250,960,8410,5670,8050,5655,25335,11275
,,1,2008,3133,28000,23500,12175,37612,30000,21250,0.303,0.399,0.518,1415,29250,42750,23500,985,8835,5930,8430,5910,27660,13015
,,1,2009,3318,26750,22500,11386,36281,28250,19750,0.335,0.422,0.546,1480,27750,41500,22500,1030,9210,6165,8745,6145,30005,15840
,,1,2010,3552,26250,21750,10986,35501,28250,19500,0.342,0.421,0.549,1555,27000,41000,21750,1085,9730,6530,9210,6500,32425,17885
,,1,2011,3877,25750,21000,10835,34638,28000,19000,0.335,0.428,0.557,1650,26250,39750,21500,1150,10570,7290,9995,7265,34480,19975
,,1,2012,4230,26000,21000,11034,34460,28000,19000,0.321,0.431,0.561,1745,26500,38750,21750,1220,11365,7785,10710,7750,37510,23230
,,1,2013,4515,26000,21250,11226,34475,28250,19250,0.305,0.425,0.556,1855,26500,38250,21750,1295,12215,8195,11485,8160,40020,26170
,,1,2014,4780,26500,21750,11633,35101,28000,19250,0.298,0.429,0.555,1970,27000,38500,22000,1345,13205,8610,12375,8570,42625,28415
,,2,1999,644,34500,29500,16823,45328,41750,32500,0.136,0.238,0.338,2250,30250,33500,27000,1430,11285,7065,10480,6910,27605,15215
,,2,2000,682,36500,31000,17834,47721,44500,34500,0.134,0.229,0.323,2225,32250,36250,28750,1430,12010,7535,11030,7315,30390,16975
,,2,2001,718,38000,32000,17967,50040,46000,35750,0.138,0.216,0.31,2310,33750,38250,30250,1470,12900,8055,11770,7780,32370,18695
,,2,2002,769,36250,30750,16943,48257,44500,34500,0.155,0.234,0.331,2300,32250,36000,29250,1470,13520,8345,12265,8070,33475,20150
,,2,2003,838,36000,30250,16562,47956,44250,33750,0.162,0.242,0.342,2250,31000,36000,30000,1460,13985,8525,12595,8245,34680,21350
,,2,2004,924,36250,30500,16654,47951,44500,33750,0.16,0.242,0.341,2185,30250,36500,31250,1425,14235,8495,12780,8235,34350,22030
,,2,2005,1040,36250,30500,16802,47807,44750,33750,0.154,0.239,0.339,2155,31000,37250,31750,1405,14560,8600,12960,8230,34150,22415
,,2,2006,1180,37250,31000,17143,48803,45500,34000,0.149,0.236,0.336,2190,32000,38750,32750,1425,15090,8940,13385,8490,33945,24355
,,2,2007,1326,37250,31000,16991,48975,45500,33750,0.152,0.241,0.343,2250,32000,39250,32750,1455,15300,9100,13545,8615,33285,25350
,,2,2008,1498,38000,31250,16827,49902,46000,33750,0.16,0.244,0.346,2305,32750,40500,33000,1490,15845,9425,14000,8890,34065,26395
,,2,2009,1730,36000,29000,14707,48030,43000,30750,0.197,0.279,0.39,2330,30750,38750,31000,1490,15985,9445,14045,8930,34665,26400
,,2,2010,2018,34750,27500,13856,46518,-57750,29250,0.212,0.289,0.407,2400,30000,38250,29750,1520,16490,9820,14425,9270,36430,27730
,,2,2011,2394,33750,26250,13291,44680,40000,27500,0.212,0.309,0.432,2510,28750,37250,28500,1580,17280,10425,15160,9985,37565,28275
,,2,2012,2789,33250,26000,13422,44139,39500,26750,0.213,0.318,0.443,2665,28750,36750,28250,1715,18530,11135,16285,10735,39680,29235
,,2,2013,3163,33250,26000,13480,43726,39000,26500,0.21,0.322,0.448,2840,28500,36750,28250,1850,19965,11985,17575,11505,41865,30625
,,2,2014,3538,33250,26250,13725,43721,38000,26000,0.209,0.332,0.453,3030,29250,37250,28250,1990,21680,12980,19010,12410,44795,32175
,,3,1999,1117,31750,27500,15398,42124,39250,30250,0.171,0.278,0.386,1925,31750,39500,25750,1050,9170,5115,8260,5040,26665,13705
,,3,2000,1145,32750,28500,15999,43522,41000,31750,0.166,0.268,0.371,1930,33750,42500,27750,1050,9940,5370,8885,5285,29505,15435
,,3,2001,1173,34500,30000,16730,45700,42500,33250,0.177,0.255,0.354,2005,36500,45250,29750,1080,10835,5685,9635,5590,31865,16620
,,3,2002,1205,34000,29750,15976,45616,41500,32500,0.192,0.27,0.368,2030,36250,45000,29250,1085,11500,5895,10160,5775,33150,17525
,,3,2003,1257,33750,29250,15747,45719,41250,32000,0.2,0.279,0.376,2015,36750,44750,29250,1070,12045,5990,10555,5880,34495,18730
,,3,2004,1340,33750,29250,15699,45538,41500,31750,0.203,0.279,0.378,1980,37000,44750,29500,1040,12400,5990,10805,5890,35090,20065
,,3,2005,1450,33750,28750,15637,45176,41250,31250,0.2,0.281,0.38,1970,36500,45000,29250,1030,12830,6105,11125,6000,35695,20925
,,3,2006,1576,34250,29250,15899,45731,42000,31750,0.197,0.276,0.373,2000,37250,46000,29500,1050,13345,6375,11510,6260,36570,22300
,,3,2007,1700,34250,29250,15894,45810,42250,31500,0.194,0.276,0.374,2055,37500,46750,29250,1090,13670,6590,11770,6465,36780,22815
,,3,2008,1833,35500,30000,16266,47408,43250,32250,0.2,0.272,0.369,2115,38750,48500,30000,1130,14330,6965,12320,6835,37985,24250
,,3,2009,2036,33750,28500,14764,46047,41000,30000,0.225,0.296,0.399,2160,36750,46500,28250,1170,14630,7190,12555,7040,38495,25380
,,3,2010,2243,33250,27750,14266,45189,40500,29250,0.23,0.296,0.405,2245,36000,45750,27500,1240,15265,7580,13040,7410,40120,26865
,,3,2011,2586,32500,26750,13809,43810,39500,27750,0.229,0.31,0.422,2320,35000,45250,26750,1300,15875,8050,13585,7865,41500,27700
,,3,2012,3026,31750,26000,13554,42782,38750,27000,0.22,0.316,0.431,2385,33750,44500,26250,1350,16555,8465,14210,8290,43565,29305
,,3,2013,3504,31250,25500,13480,41919,38250,26250,0.211,0.317,0.438,2470,33750,44500,25750,1400,17340,8875,14945,8685,45595,31030
,,3,2014,4053,31250,25500,13645,41871,37000,25750,0.206,0.323,0.442,2570,34500,45000,25250,1455,18355,9455,15865,9250,47700,32865
,,4,1999,3528,47750,39750,24400,57689,62750,48750,0.09,0.126,0.188,3410,31750,43250,35500,2520,15715,9345,11230,7580,25645,15375
,,4,2000,3699,49000,41000,25279,59350,65000,50750,0.088,0.12,0.177,3435,34000,46750,38750,2545,17080,10315,12170,8410,27615,16665
,,4,2001,3876,50750,42500,26006,61665,65500,52000,0.092,0.115,0.172,3605,37000,50500,41500,2645,18615,11230,13145,9250,30110,18165
