fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1994,,4,,3343,3039,46,227,265,21638,17012,3296,1330,6475,4375,5595,4075,12070,7550,5010,3520,8345,7625,16285,13655,11950,29665,5.85,3,1517,1487,160,5480,4570,9475,3550,3250,5530,8315,6795,1515,,,,,,,,,,,,,,,0.694281
1995,,4,,3537,3204,52,245,289,26156,20417,4105,1634,7395,5075,6375,4785,13805,8675,5645,3905,9625,8875,18595,15805,13815,33350,5.83,3,1568,1534,169,6170,5095,10970,3970,3610,6415,9675,7820,1855,49990,0.7,0.57,0.39,58841.7,0.14,0.09,0.04,41965,17020,56580,41965,28020,40755,0.707602
1996,,4,,3786,3420,60,268,316,31605,24483,5109,2013,8350,5500,7160,5250,15535,9910,6380,4225,11000,10045,19880,17820,15670,37720,5.83,3,1644,1605,183,7035,5795,12385,4560,4110,7335,11560,9300,2260,51165,0.72,0.57,0.39,53409.1,0.11,0.1,0.04,43155,17015,57375,43150,33255,43780,0.724261
1997,,4,,4025,3629,67,296,341,37584,28822,6320,2443,9335,6125,7940,5700,17355,11120,7160,4700,12175,11120,22565,20005,17125,40395,5.82,3,1737,1693,202,8065,6585,14150,5095,4670,8380,14010,11150,2860,52040,0.73,0.58,0.39,53379.7,0.1,0.1,0.04,44135,17205,58000,44135,32080,43875,0.732323
1998,,4,,4332,3911,68,341,366,44000,33382,7680,2939,10160,6415,8535,6030,18775,11335,8020,5090,13385,12085,24910,22120,18790,46100,5.83,3,1907,1863,226,9645,7810,17020,5900,5300,9840,18395,14550,3850,53085,0.74,0.58,0.38,55739.2,0.13,0.1,0.04,45095,17840,58405,45110,32255,41545,0.738253
1999,,4,,4572,4122,73,379,391,50669,37998,9252,3419,11085,7000,9215,6485,20460,12600,8740,5525,14500,13210,27110,24225,20230,49715,5.83,4,2036,1988,254,10940,8750,19170,6785,5985,11250,22270,17400,4870,54445,0.75,0.58,0.38,59089.6,0.11,0.09,0.03,46455,18300,59335,46455,34005,44165,0.753413
2000,,4,,4762,4281,79,415,418,57296,42403,10928,3965,12035,7640,9905,7040,22145,13640,9490,6025,15615,14195,28645,26300,21665,54060,5.83,4,2137,2083,283,12225,9680,21045,7725,6800,12500,26120,20165,5955,55835,0.76,0.58,0.39,59848.2,0.11,0.08,0.03,47760,18740,60275,47770,38120,44980,0.77168
2001,,4,,4958,4452,85,454,439,64219,46985,12758,4476,12955,8235,10555,7660,23650,14640,10195,6480,16620,14955,30670,28400,22920,57100,5.84,4,2232,2174,311,13530,10595,23030,8640,7620,13580,30205,23030,7170,57015,0.76,0.58,0.39,59815.4,0.12,0.08,0.03,48710,19070,61055,48730,40570,42980,0.779909
2002,,4,,5213,4676,88,510,470,71673,51742,14802,5129,13750,8665,11065,8070,24730,15345,10915,6795,17320,15565,31750,30400,24030,58705,5.83,4,2337,2279,340,14660,11350,24700,9305,8195,14610,34265,25865,8400,58225,0.77,0.59,0.39,59929.8,0.12,0.08,0.03,49745,19625,61720,49765,43540,44945,0.796383
2003,,4,,5521,4943,89,583,515,80407,57025,17225,6156,14565,9015,11540,8395,25620,16010,11965,7110,18215,16150,32735,32420,25075,59940,5.8,4,2470,2416,375,15710,11990,26200,9890,8675,15550,38800,28970,9835,59050,0.77,0.59,0.39,60103.3,0.12,0.08,0.03,50340,19895,62065,50365,45130,45320,0.811654
