full_sample,sel_index,typen,fy,new_borrower,entered_repayment,paid_off,dur_repay,paid_length
,6,,1977,25,9,1,2.87,5.19
,6,,1978,37,14,2,2.89,5.52
,6,,1979,64,17,2,2.53,5.93
,6,,1980,109,23,3,2.68,6.14
,6,,1981,151,39,5,2.46,7.16
,6,,1982,88,67,7,2.41,7.09
,6,,1983,90,94,15,2.7,6.98
,6,,1984,95,93,13,3.01,7.32
,6,,1985,90,94,15,3.26,7.32
,6,,1986,76,95,17,3.28,7.33
,6,,1987,68,94,23,3.38,7.53
,6,,1988,75,83,27,3.56,8.19
,6,,1989,78,75,33,3.8,8.57
,6,,1990,82,73,43,3.76,9.5
,6,,1991,91,73,68,3.73,9.84
,6,,1992,98,78,89,3.6,10.27
,6,,1993,102,82,103,3.56,10.7
,6,,1994,121,84,89,3.53,10.97
,6,,1995,119,89,85,3.51,10.89
,6,,1996,118,101,86,3.41,10.18
,6,,1997,114,108,85,3.48,10.09
,6,,1998,106,111,76,3.57,10.06
,6,,1999,100,111,89,3.68,11.99
,6,,2000,99,114,92,3.75,11.58
,6,,2001,104,106,97,3.78,11.39
,6,,2002,123,101,84,3.89,10.71
,6,,2003,138,104,79,3.75,10.96
,6,,2004,139,114,81,3.77,11.29
,6,,2005,142,143,79,3.6,11.36
,6,,2006,135,144,84,3.55,11.16
,6,,2007,139,107,74,3.67,11.11
,6,,2008,141,117,72,3.84,10.81
,6,,2009,169,140,68,3.89,11.07
,6,,2010,163,139,74,4.05,10.52
,6,,2011,157,158,82,4,10.29
,6,,2012,129,172,95,4.06,10.19
,6,,2013,114,174,110,4.18,10.29
,6,,2014,114,170,114,4.33,10.23
,,1,1970,6,0,0,0,
,,1,1971,7,1,0,.84,1
,,1,1972,9,3,0,1.39,1.71
,,1,1973,8,6,1,1.62,1.97
,,1,1974,11,7,1,1.86,2.59
,,1,1975,14,8,2,1.96,2.79
,,1,1976,18,11,4,1.79,3.56
,,1,1977,23,12,2,1.7,3.43
,,1,1978,33,17,3,1.62,4
,,1,1979,47,20,3,1.7,3.85
,,1,1980,82,27,4,1.73,4.35
,,1,1981,135,47,7,1.61,4.37
,,1,1982,171,93,9,1.47,4.65
,,1,1983,241,136,15,1.5,4.64
,,1,1984,316,169,22,1.45,4.87
,,1,1985,434,232,27,1.46,4.54
,,1,1986,536,313,39,1.47,4.65
,,1,1987,648,402,51,1.48,5.1
,,1,1988,737,637,66,1.4,5.3
,,1,1989,681,649,88,1.32,5.23
,,1,1990,511,641,125,1.4,5.54
,,1,1991,397,503,193,1.6,5.89
,,1,1992,312,384,242,1.78,6.51
,,1,1993,227,298,287,2.08,6.71
,,1,1994,205,213,232,2.08,7.03
,,1,1995,189,186,250,2.18,7.25
,,1,1996,195,178,258,2.28,7.69
,,1,1997,187,176,253,2.38,8.31
,,1,1998,189,167,232,2.6,8.73
,,1,1999,197,171,300,2.69,10.37
,,1,2000,207,179,286,2.73,11.04
,,1,2001,222,185,263,2.79,11.04
,,1,2002,249,192,233,2.82,11.3
,,1,2003,284,220,204,3.03,11.54
,,1,2004,325,257,191,3.18,11.78
,,1,2005,329,302,200,3.18,11.98
,,1,2006,322,322,195,3.6,11.46
,,1,2007,320,316,197,3.65,11.76
,,1,2008,336,325,189,3.78,11.97
,,1,2009,438,368,175,4.07,12.07
,,1,2010,467,432,185,4.01,12.23
,,1,2011,421,540,193,4.36,12.51
,,1,2012,348,549,169,4.93,12.51
,,1,2013,296,512,233,5.58,14.5
,,1,2014,280,487,212,6.33,14.16
,,2,1970,2,0,0,0,
,,2,1971,2,0,0,.88,1
,,2,1972,1,1,0,1.6,1.67
,,2,1973,2,1,0,1.75,2.75
,,2,1974,2,1,0,2.31,2.72
,,2,1975,2,1,0,2.15,2.76
,,2,1976,3,1,1,2.3,3.3
,,2,1977,4,2,0,2.45,3.89
,,2,1978,8,3,1,2.09,4.42
,,2,1979,14,4,1,1.96,4.25
,,2,1980,27,6,1,1.83,4.08
,,2,1981,36,11,1,1.82,4.38
,,2,1982,41,19,2,1.82,4.23
,,2,1983,59,31,4,1.87,4.76
,,2,1984,72,37,4,1.84,4.44
,,2,1985,78,51,6,1.91,4.46
,,2,1986,78,60,8,1.95,4.59
,,2,1987,86,69,12,1.96,5.25
,,2,1988,94,77,17,1.93,5.42
,,2,1989,94,79,20,1.9,5.75
,,2,1990,99,81,25,1.97,5.93
,,2,1991,100,85,37,1.91,6.52
,,2,1992,109,90,49,1.91,7.15
,,2,1993,101,89,55,1.99,7.43
,,2,1994,101,81,49,2.12,7.42
,,2,1995,98,82,54,2.23,7.56
,,2,1996,107,84,65,2.33,7.69
,,2,1997,117,85,64,2.3,8.11
,,2,1998,129,92,58,2.47,8.05
,,2,1999,142,101,60,2.43,8.91
,,2,2000,152,112,69,2.39,9.34
,,2,2001,175,114,70,2.51,9.16
,,2,2002,197,129,68,2.43,8.92
,,2,2003,227,142,68,2.63,9.1
,,2,2004,274,167,71,2.6,9.01
,,2,2005,294,206,74,2.74,8.92
,,2,2006,309,235,87,2.75,8.78
,,2,2007,345,241,87,2.8,8.81
,,2,2008,415,267,87,2.83,8.48
,,2,2009,544,331,88,2.72,8.75
,,2,2010,542,396,94,2.78,8.57
,,2,2011,433,501,103,3.04,8.74
,,2,2012,360,519,106,3.47,9.07
,,2,2013,316,510,135,3.95,9.67
,,2,2014,285,525,140,4.27,9.99
,,3,1970,5,0,0,0,
,,3,1971,7,1,0,.76,1
,,3,1972,8,2,0,1.35,1.44
,,3,1973,8,5,1,1.62,2.08
,,3,1974,8,6,1,1.93,2.42
,,3,1975,11,6,1,2.29,3.14
,,3,1976,12,7,2,2.63,3.48
,,3,1977,16,7,1,2.41,3.41
,,3,1978,25,11,2,1.94,3.51
,,3,1979,43,13,2,2,4.39
,,3,1980,88,16,3,2.02,4.39
,,3,1981,151,31,5,1.77,4.92
,,3,1982,135,58,7,1.8,4.92
,,3,1983,155,88,12,2.02,4.81
,,3,1984,167,105,15,2.18,4.72
,,3,1985,186,121,23,2.37,4.86
,,3,1986,174,145,25,2.48,5.16
,,3,1987,135,144,33,2.6,5.54
,,3,1988,134,155,44,2.76,5.87
,,3,1989,136,133,51,2.87,6.37
,,3,1990,129,122,61,2.92,6.72
,,3,1991,143,114,82,3.01,7.31
,,3,1992,156,117,108,3.03,7.87
,,3,1993,166,122,115,3.07,8.4
,,3,1994,186,124,99,3.09,8.64
,,3,1995,183,129,106,3.09,8.67
,,3,1996,192,134,109,3.26,8.84
,,3,1997,201,138,107,3.33,9
,,3,1998,199,144,94,3.38,8.89
,,3,1999,183,147,109,3.76,10.35
,,3,2000,186,150,127,3.86,10.64
,,3,2001,191,143,116,4.05,10.46
,,3,2002,235,141,110,4.14,10.31
,,3,2003,277,152,102,4.14,10.2
,,3,2004,302,184,102,4.23,10.26
,,3,2005,317,220,109,4.41,10.58
,,3,2006,315,244,117,4.33,10.16
,,3,2007,318,246,121,4.38,10.24
,,3,2008,349,254,121,4.59,10.13
,,3,2009,462,316,114,4.52,10.38
,,3,2010,501,328,120,4.75,10.11
,,3,2011,563,469,126,4.74,10.48
,,3,2012,545,582,135,4.65,10.91
,,3,2013,485,650,174,4.76,11.45
,,3,2014,406,732,181,4.93,11.34
,,4,1970,93,1,0,0,
,,4,1971,68,7,1,.87,1
,,4,1972,58,22,4,1.71,1.7
,,4,1973,55,34,7,2.24,2.33
,,4,1974,59,40,9,2.74,2.97
,,4,1975,65,45,12,3.31,3.69
,,4,1976,71,44,18,3.45,4.34
,,4,1977,100,48,13,3.55,4.85
,,4,1978,134,56,16,3.34,5.69
,,4,1979,258,66,17,3.25,5.99
,,4,1980,469,83,18,3.04,6.47
,,4,1981,653,137,24,2.77,7.14
,,4,1982,391,229,37,2.54,7.13
,,4,1983,401,316,55,2.82,7.09
,,4,1984,458,347,64,3.24,7.23
,,4,1985,486,386,80,3.49,6.99
,,4,1986,425,414,93,3.68,6.9
,,4,1987,380,407,119,3.72,7.17
,,4,1988,405,406,144,3.74,7.62
,,4,1989,430,391,161,3.81,7.92
,,4,1990,471,381,210,3.9,8.35
,,4,1991,535,393,288,3.85,8.87
,,4,1992,583,405,374,3.71,9.47
,,4,1993,677,425,401,3.78,9.92
,,4,1994,753,415,362,3.91,10.13
,,4,1995,732,460,378,3.79,10.29
,,4,1996,815,507,386,3.89,10
,,4,1997,793,548,385,4,9.95
,,4,1998,779,577,347,4.13,9.74
,,4,1999,756,606,375,4.33,10.97
,,4,2000,767,631,444,4.5,11.42
,,4,2001,775,619,431,4.67,11
,,4,2002,837,617,418,4.78,10.55
,,4,2003,905,654,402,4.89,10.76
,,4,2004,950,715,416,4.94,10.76
,,4,2005,951,838,431,5.06,11.09
,,4,2006,925,871,457,5.16,10.77
,,4,2007,901,767,446,5.25,10.89
,,4,2008,950,802,432,5.44,10.81
,,4,2009,1106,916,396,5.69,11.08
,,4,2010,1136,952,411,5.88,11.08
,,4,2011,1175,1133,452,6,11.26
,,4,2012,1050,1302,491,6.12,11.36
,,4,2013,1004,1384,585,6.25,11.83
,,4,2014,1005,1494,616,6.24,11.87
,,5,1970,2,0,0,0,
,,5,1971,2,0,0,.75,
,,5,1972,2,1,0,1.55,1
,,5,1973,2,1,0,2.27,2.4
,,5,1974,3,2,0,2.57,2.83
,,5,1975,3,2,1,2.9,3.45
,,5,1976,4,2,1,2.66,4.05
,,5,1977,6,2,1,2.67,3.87
,,5,1978,7,3,1,2.32,4.58
,,5,1979,10,4,1,2.42,5
,,5,1980,16,5,1,2.63,5.78
,,5,1981,22,8,1,2.23,5.9
,,5,1982,19,13,2,2.09,6.73
,,5,1983,18,16,3,2.21,6.17
,,5,1984,18,15,4,2.54,6.64
,,5,1985,22,17,4,2.78,6.57
,,5,1986,20,19,5,2.45,6.42
,,5,1987,18,19,6,2.63,6.36
,,5,1988,22,20,7,2.47,6.88
,,5,1989,23,21,7,2.35,7.82
,,5,1990,20,19,9,2.11,7.95
,,5,1991,22,17,14,2.46,8.29
,,5,1992,21,18,17,2.58,9.4
,,5,1993,19,18,18,2.47,9.11
,,5,1994,18,16,15,2.43,9.13
,,5,1995,15,14,16,2.96,9.35
,,5,1996,15,15,15,3.09,9.08
,,5,1997,12,16,14,3.21,9.33
,,5,1998,11,13,13,3.48,9.1
,,5,1999,9,12,16,4.53,12.43
,,5,2000,10,11,17,4.12,11.93
,,5,2001,10,10,15,4.58,11.6
,,5,2002,11,10,12,4.98,11.19
,,5,2003,11,10,11,5.11,11.37
,,5,2004,12,12,11,4.94,12.23
,,5,2005,12,13,11,5.34,12.44
,,5,2006,12,13,11,5.5,12.26
,,5,2007,14,12,10,5.73,12.38
,,5,2008,14,14,9,5.08,12.31
,,5,2009,17,16,9,5.41,13.67
,,5,2010,17,17,8,5.79,13.29
,,5,2011,17,20,9,6.01,13.83
,,5,2012,15,22,8,6.29,14.32
,,5,2013,13,22,11,6.45,15.86
,,5,2014,13,23,10,7.77,14.75
,,6,1970,67,1,0,0,
,,6,1971,45,5,1,.88,1
,,6,1972,46,16,2,1.69,1.73
,,6,1973,49,24,3,2.18,2.43
,,6,1974,49,31,4,2.64,2.83
,,6,1975,55,34,7,3.21,3.86
,,6,1976,71,34,10,3.34,4.24
,,6,1977,99,37,7,3.47,4.92
,,6,1978,126,46,8,3.33,5.64
,,6,1979,236,54,9,3.18,5.95
,,6,1980,373,73,11,3.24,6.88
,,6,1981,444,119,19,3.01,7.24
,,6,1982,291,185,26,2.82,7.86
,,6,1983,299,248,44,3.02,7.65
,,6,1984,335,265,43,3.45,7.96
,,6,1985,346,288,53,3.63,7.76
,,6,1986,299,303,64,3.85,7.79
,,6,1987,288,294,82,3.89,7.94
,,6,1988,311,292,92,3.88,8.32
,,6,1989,330,291,103,4.01,8.8
,,6,1990,347,288,135,3.99,9.4
,,6,1991,383,297,211,3.99,9.85
,,6,1992,417,319,264,3.85,10.31
,,6,1993,439,323,298,3.93,10.6
,,6,1994,497,314,284,4.02,10.9
,,6,1995,465,326,293,4.01,10.88
,,6,1996,490,364,280,4.02,10.52
,,6,1997,497,385,287,4.23,10.43
,,6,1998,497,394,253,4.36,10.24
,,6,1999,499,420,308,4.47,12.27
,,6,2000,497,427,325,4.57,11.85
,,6,2001,507,420,354,4.63,11.94
,,6,2002,534,419,308,4.77,11.11
,,6,2003,566,431,294,4.82,11.43
,,6,2004,588,473,294,5.01,11.44
,,6,2005,582,554,304,5.09,11.88
,,6,2006,575,573,315,5.08,11.5
,,6,2007,555,490,299,5.14,11.53
,,6,2008,554,512,284,5.47,11.48
,,6,2009,640,582,260,5.61,11.68
,,6,2010,634,606,272,5.73,11.58
,,6,2011,656,683,296,5.97,11.68
,,6,2012,577,759,330,6.06,11.66
,,6,2013,539,778,380,6.21,12.17
,,6,2014,557,836,396,6.28,12.25
