fy,full_sample,sel_index,typen,new_borrowers,new_undergrad_bor,new_grad_bor,new_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,cpi_adj,age,mn_fam_inc,dependent,female,first_gen,median_hh_inc,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc
2013,,,4,1006,882,49,75,7570,5521,1128,921,7520,5500,6260,5500,22355,20500,12290,10540,0.63,1,0.992323,19,66990,0.83,0.55,0.32,63776.5,0.11,0.08,0.03,50705,16240,61665,52195,31730,28800
2014,,,4,1007,878,49,81,7770,5570,1166,1034,7715,5500,6340,5500,23540,20500,12825,11000,0,0,1,19,68615,0.84,0.56,0.31,64063.8,0.11,0.08,0.03,51660,15990,62110,53285,32265,23565
1970,,,5,3,3,0,0,3,3,0,0,1070,890,1050,890,1495,1425,,,5.5,0,0.209694,,,,,,,,,,,,,,,
1971,,,5,3,3,0,0,3,3,0,0,1135,970,1130,960,1185,1335,,,4.81,0,0.217343,,,,,,,,,,,,,,,
1972,,,5,3,3,0,0,4,3,0,0,1270,1335,1225,1335,3560,3560,,,5.31,1,0.224633,,,,,,,,,,,,,,,
1973,,,5,2,2,0,0,4,3,0,0,1450,1335,1385,1335,2670,1780,,,5.99,1,0.24199,,,,,,,,,,,,,,,
1974,,,5,3,3,0,0,5,4,1,0,1555,1335,1495,1335,2085,1780,,,6.35,1,0.269745,,,,,,,,,,,,,,,
1975,,,5,3,3,0,0,6,6,0,0,1680,1335,1685,1335,1565,1485,,,5.88,1,0.287627,,,,,,,,,,,,,,,
1976,,,5,4,4,0,0,7,7,0,0,1660,1335,1640,1335,2090,1670,,,6.41,1,0.302189,,,,,,,,,,,,,,,
1977,,,5,7,6,0,0,12,11,1,0,1875,1535,1800,1425,2660,1630,,,7.09,1,0.322139,,,,,,,,,,,,,,,
1978,,,5,7,7,0,0,14,14,1,0,1950,1780,1905,1780,3150,2280,,,5.92,1,0.346492,,,,,,,,,,,,,,,
