fy,full_sample,sel_index,typen,active_borrowers,active_undergrad_bor,active_grad_bor,active_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
2004,,6,,996,0,996,0,16117,0,16117,0,16175,16950,,,16175,16950,,,8.2,7,54880,0.51,0.61,0.26,67340.7,0.1,0.08,0.03,40770,22270,63530,,40770,,0.834702
2005,,6,,1060,0,1060,0,17406,0,17406,0,16430,17485,,,16430,17485,,,8.37,7,56225,0.53,0.61,0.26,66871.4,0.1,0.08,0.03,41790,22425,64215,,41790,,0.858669
2006,,6,,1094,0,1094,0,19608,0,19608,0,17925,18055,,,17925,18055,,,8.51,7,57680,0.56,0.62,0.26,66194.9,0.11,0.08,0.03,42845,21940,64720,,42845,,0.876992
2007,,6,,1160,0,1160,0,22913,0,22913,0,19755,18420,,,19755,18420,,,8.62,7,59395,0.58,0.62,0.27,66069.5,0.11,0.08,0.03,44730,22180,66420,,44730,,0.906824
2008,,6,,1240,0,1240,0,26037,0,26037,0,21000,19465,,,21000,19465,,,8.77,7,60135,0.59,0.63,0.27,65794.6,0.11,0.08,0.03,44665,22360,66015,,44665,,0.910217
2009,,6,,1396,0,1396,0,30589,0,30589,0,21915,19985,,,21915,19985,,,8.84,7,61210,0.6,0.63,0.27,65846,0.11,0.08,0.03,45185,22275,66215,,45185,,0.929017
2010,,6,,1487,0,1487,0,32437,0,32437,0,21810,19145,,,21810,19145,,,8.94,7,61770,0.61,0.63,0.27,65666.1,0.12,0.08,0.03,45390,21755,65825,,45390,,0.941916
2011,,6,,1574,0,1574,0,35493,0,35493,0,22550,19645,,,22550,19645,,,8.98,7,62020,0.62,0.63,0.28,65321.2,0.12,0.08,0.03,45250,22210,65245,,45250,,0.965479
2012,,6,,1486,0,1486,0,34056,0,34056,0,22910,20000,,,22910,20000,,,9.08,7,62485,0.63,0.64,0.28,64995.8,0.12,0.09,0.03,45115,21900,65135,,45115,,0.980216
2013,,6,,1424,0,1424,0,33421,0,33421,0,23465,20500,,,23465,20500,,,8.99,7,63080,0.64,0.64,0.29,64681.3,0.12,0.09,0.03,45590,22160,64110,,45590,,0.992323
2014,,6,,1422,0,1422,0,34127,0,34127,0,24000,20500,,,24000,20500,,,8.64,7,62860,0.65,0.65,0.29,64459.7,0.13,0.09,0.03,45150,21510,63420,,45150,,1
1970,,,1,9,8,0,0,9,9,1,0,1095,890,1065,890,1590,1335,,,3.83,0,,,,,,,,,,,,,,,0.209694
1971,,,1,10,10,0,0,12,12,0,0,1160,1335,1155,1245,1125,1335,,,4.15,0,,,,,,,,,,,,,,,0.217343
1972,,,1,13,13,1,0,16,16,1,0,1245,1335,1240,1285,1240,1335,,,4.08,0,,,,,,,,,,,,,,,0.224633
